CauseName,State,Deaths,AADR,Population,Latitude,Longitude
All Causes,Alabama,51909,924.5,4888949,32.806671,-86.79113
All Causes,Alaska,4316,747.4,738068,61.370716,-152.404419
All Causes,Arizona,54299,671.8,7123898,33.729759,-111.431221
All Causes,Arkansas,31617,901.8,3020327,34.969704,-92.373123
All Causes,California,259206,621.6,39776830,36.116203,-119.681564
All Causes,Colorado,36349,665,5684203,39.059811,-105.311104
All Causes,Connecticut,30535,656.1,3588683,41.597782,-72.755371
All Causes,Delaware,8582,741.5,971180,39.318523,-75.507141
All Causes,District of Columbia,4871,748.6,703608,38.897438,-77.026817
All Causes,Florida,191737,662.9,21312211,27.766279,-81.686783
All Causes,Georgia,79942,808.1,10545138,33.040619,-83.643074
All Causes,Hawaii,11053,588.2,1426393,21.094318,-157.498337
All Causes,Idaho,13026,727.8,1753860,44.240459,-114.478828
All Causes,Illinois,106872,728.3,12768320,40.349457,-88.986137
All Causes,Indiana,62713,833.9,6699629,39.849426,-86.258278
All Causes,Iowa,29600,724.6,3160553,42.011539,-93.210526
All Causes,Kansas,26664,774.1,2918515,38.5266,-96.726486
All Causes,Kentucky,46564,924.7,4472265,37.66814,-84.670067
All Causes,Louisiana,43716,874.2,4682509,31.169546,-91.867805
All Causes,Maine,14479,783.5,1341582,44.693947,-69.381927
All Causes,Maryland,47247,705.7,6079602,39.063946,-76.802101
All Causes,Massachusetts,57806,684.8,6895917,42.230171,-71.530106
All Causes,Michigan,95140,784.4,9991177,43.326618,-84.536095
All Causes,Minnesota,42800,653.8,5628162,45.694454,-93.900192
All Causes,Mississippi,31783,963.7,2982785,32.741646,-89.678696
All Causes,Missouri,59871,816.9,6135888,38.456085,-92.288368
All Causes,Montana,9942,762.7,1062330,46.921925,-110.454353
All Causes,Nebraska,16740,739.2,1932549,41.12537,-98.268082
All Causes,Nevada,22879,757.2,3056824,38.313515,-117.055374
All Causes,New Hampshire,11984,720.6,1350575,43.452492,-71.563896
All Causes,New Jersey,72271,666,9032872,40.298904,-74.521011
All Causes,New Mexico,17685,741.5,2090708,34.840515,-106.248482
All Causes,New York,153628,644,19862512,42.165726,-74.948051
All Causes,North Carolina,89133,789.9,10390149,35.630066,-79.806419
All Causes,North Dakota,6223,696.8,755238,47.528912,-99.784012
All Causes,Ohio,118188,828.4,11694664,40.388783,-82.764915
All Causes,Oklahoma,39422,904.3,3940521,35.565342,-96.928917
All Causes,Oregon,35705,722.3,4199563,44.572021,-122.070938
All Causes,Pennsylvania,132598,768.3,12823989,40.590752,-77.209755
All Causes,Rhode Island,10163,721.9,1061712,41.680893,-71.51178
All Causes,South Carolina,47198,840,5088916,33.856892,-80.945007
All Causes,South Dakota,7731,715.4,877790,44.299782,-99.438828
All Causes,Tennessee,66570,886.4,6782564,35.747845,-86.692345
All Causes,Texas,189654,745,28704330,31.054487,-97.563461
All Causes,Utah,17334,712.1,3159345,40.150032,-111.862434
All Causes,Vermont,5919,714.7,623960,44.045876,-72.710686
All Causes,Virginia,65577,721.6,8525660,37.769337,-78.169968
All Causes,Washington,54595,687.4,7530552,47.400902,-121.490494
All Causes,West Virginia,22752,943.4,1803077,38.491226,-80.954453
All Causes,Wisconsin,51264,715.9,5818049,44.268543,-89.616508
All Causes,Wyoming,4778,748.3,573720,42.755966,-107.30249
