County,State(Code),Deaths,Population,Crude Rate Per 100000
Autauga County, AL (01001),20,"55,416",36.1
Baldwin County, AL (01003),63,"208,563",30.2
Blount County, AL (01009),27,"57,704",46.8
Bullock County, AL (01011),12,"10,362",Unreliable
Butler County, AL (01013),13,"19,998",Unreliable
Calhoun County, AL (01015),60,"114,611",52.4
Chambers County, AL (01017),29,"33,843",85.7
Cherokee County, AL (01019),22,"25,725",85.5
Chilton County, AL (01021),14,"43,941",Unreliable
Choctaw County, AL (01023),14,"12,993",Unreliable
Clarke County, AL (01025),15,"24,392",Unreliable
Coffee County, AL (01031),32,"51,226",62.5
Colbert County, AL (01033),39,"54,216",71.9
Covington County, AL (01039),23,"37,458",61.4
Crenshaw County, AL (01041),21,"13,913",150.9
Cullman County, AL (01043),62,"82,471",75.2
Dale County, AL (01045),25,"49,226",50.8
Dallas County, AL (01047),39,"40,008",97.5
DeKalb County, AL (01049),21,"70,900",29.6
Elmore County, AL (01051),55,"81,799",67.2
Escambia County, AL (01053),13,"37,728",Unreliable
Etowah County, AL (01055),80,"102,564",78
Fayette County, AL (01057),15,"16,546",Unreliable
Franklin County, AL (01059),13,"31,628",Unreliable
Geneva County, AL (01061),23,"26,614",86.4
Henry County, AL (01067),16,"17,164",Unreliable
Houston County, AL (01069),73,"104,056",70.2
Jackson County, AL (01071),42,"52,138",80.6
Jefferson County, AL (01073),341,"659,521",51.7
Lauderdale County, AL (01077),82,"92,318",88.8
Lawrence County, AL (01079),10,"33,244",Unreliable
Lee County, AL (01081),48,"158,991",30.2
Limestone County, AL (01083),35,"92,753",37.7
Macon County, AL (01087),11,"18,963",Unreliable
Madison County, AL (01089),189,"356,967",52.9
Marion County, AL (01093),15,"29,998",Unreliable
Marshall County, AL (01095),65,"95,157",68.3
Mobile County, AL (01097),170,"414,836",41
Montgomery County, AL (01101),140,"226,349",61.9
Morgan County, AL (01103),69,"119,012",58
Pickens County, AL (01107),10,"20,324",Unreliable
Randolph County, AL (01111),12,"22,652",Unreliable
Russell County, AL (01113),45,"58,172",77.4
St. Clair County, AL (01115),50,"88,019",56.8
Shelby County, AL (01117),69,"210,622",32.8
Talladega County, AL (01121),25,"80,103",31.2
Tallapoosa County, AL (01123),11,"40,727",Unreliable
Tuscaloosa County, AL (01125),79,"206,102",38.3
Walker County, AL (01127),48,"64,967",73.9
Washington County, AL (01129),14,"16,756",Unreliable
Winston County, AL (01133),11,"23,805",Unreliable
Anchorage Borough, AK (02020),44,"298,192",14.8
Fairbanks North Star Borough, AK (02090),18,"100,605",Unreliable
Kenai Peninsula Borough, AK (02122),12,"58,506",Unreliable
Matanuska-Susitna Borough, AK (02170),13,"104,365",Unreliable
Apache County, AZ (04001),12,"73,112",Unreliable
Cochise County, AZ (04003),41,"125,770",32.6
Coconino County, AZ (04005),34,"140,908",24.1
Gila County, AZ (04007),22,"53,556",41.1
Graham County, AZ (04009),10,"37,599",Unreliable
Maricopa County, AZ (04013),"1,845","4,242,997",43.5
Mohave County, AZ (04015),116,"205,249",56.5
Navajo County, AZ (04017),27,"110,026",24.5
Pima County, AZ (04019),576,"1,016,206",56.7
Pinal County, AZ (04021),116,"418,540",27.7
Santa Cruz County, AZ (04023),18,"45,985",Unreliable
Yavapai County, AZ (04025),199,"225,562",88.2
Yuma County, AZ (04027),55,"205,631",26.7
Ashley County, AR (05003),20,"20,492",97.6
Baxter County, AR (05005),39,"41,062",95
Benton County, AR (05007),84,"258,291",32.5
Boone County, AR (05009),15,"37,304",Unreliable
Carroll County, AR (05015),12,"27,646",Unreliable
Clark County, AR (05019),10,"22,657",Unreliable
Cleburne County, AR (05023),21,"25,264",83.1
Columbia County, AR (05027),20,"23,901",83.7
Conway County, AR (05029),12,"20,937",Unreliable
Craighead County, AR (05031),36,"105,835",34
Crawford County, AR (05033),44,"62,267",70.7
Crittenden County, AR (05035),20,"49,235",40.6
Cross County, AR (05037),18,"17,037",Unreliable
Faulkner County, AR (05045),53,"122,227",43.4
Franklin County, AR (05047),14,"17,626",Unreliable
Garland County, AR (05051),72,"97,477",73.9
Greene County, AR (05055),28,"44,598",62.8
Hempstead County, AR (05057),10,"21,974",Unreliable
Hot Spring County, AR (05059),17,"33,374",Unreliable
Howard County, AR (05061),10,"13,377",Unreliable
Independence County, AR (05063),18,"37,168",Unreliable
Jackson County, AR (05067),16,"17,221",Unreliable
Jefferson County, AR (05069),26,"70,016",37.1
Lawrence County, AR (05075),18,"16,735",Unreliable
Logan County, AR (05083),14,"21,792",Unreliable
Lonoke County, AR (05085),31,"72,228",42.9
Marion County, AR (05089),15,"16,325",Unreliable
Miller County, AR (05091),28,"43,787",63.9
Mississippi County, AR (05093),11,"42,835",Unreliable
Montgomery County, AR (05097),10,"8,879",Unreliable
Ouachita County, AR (05103),14,"24,098",Unreliable
Phillips County, AR (05107),11,"18,975",Unreliable
Poinsett County, AR (05111),11,"24,023",Unreliable
Polk County, AR (05113),11,"20,173",Unreliable
Pope County, AR (05115),17,"63,779",Unreliable
Pulaski County, AR (05119),206,"393,250",52.4
Randolph County, AR (05121),18,"17,448",Unreliable
Saline County, AR (05125),65,"118,703",54.8
Scott County, AR (05127),13,"10,277",Unreliable
Sebastian County, AR (05131),67,"127,793",52.4
Union County, AR (05139),27,"39,887",67.7
Washington County, AR (05143),92,"228,049",40.3
White County, AR (05145),13,"79,263",Unreliable
Alameda County, CA (06001),583,"1,647,704",35.4
Amador County, CA (06005),29,"37,383",77.6
Butte County, CA (06007),210,"226,864",92.6
Calaveras County, CA (06009),14,"45,171",Unreliable
Contra Costa County, CA (06013),515,"1,135,127",45.4
El Dorado County, CA (06017),63,"185,625",33.9
Fresno County, CA (06019),330,"979,915",33.7
Glenn County, CA (06021),14,"28,085",Unreliable
Humboldt County, CA (06023),49,"136,646",35.9
Imperial County, CA (06025),15,"180,883",Unreliable
Kern County, CA (06029),363,"884,788",41
Kings County, CA (06031),38,"149,785",25.4
Lake County, CA (06033),26,"64,116",40.6
Los Angeles County, CA (06037),"4,016","10,137,915",39.6
Madera County, CA (06039),65,"154,697",42
Marin County, CA (06041),174,"260,651",66.8
Mendocino County, CA (06045),14,"87,628",Unreliable
Merced County, CA (06047),63,"268,672",23.4
Monterey County, CA (06053),145,"435,232",33.3
Napa County, CA (06055),59,"142,166",41.5
Nevada County, CA (06057),47,"99,107",47.4
Orange County, CA (06059),"1,429","3,172,532",45
Placer County, CA (06061),198,"380,531",52
Plumas County, CA (06063),13,"18,627",Unreliable
Riverside County, CA (06065),957,"2,387,741",40.1
Sacramento County, CA (06067),640,"1,514,460",42.3
San Bernardino County, CA (06071),750,"2,140,096",35
San Diego County, CA (06073),"1,412","3,317,749",42.6
San Francisco County, CA (06075),344,"870,887",39.5
San Joaquin County, CA (06077),351,"733,709",47.8
San Luis Obispo County, CA (06079),187,"282,887",66.1
San Mateo County, CA (06081),286,"764,797",37.4
Santa Barbara County, CA (06083),233,"446,170",52.2
Santa Clara County, CA (06085),117,"1,919,402",6.1
Santa Cruz County, CA (06087),102,"274,673",37.1
Shasta County, CA (06089),166,"179,631",92.4
Siskiyou County, CA (06093),25,"43,603",57.3
Solano County, CA (06095),199,"440,207",45.2
Sonoma County, CA (06097),275,"503,070",54.7
Stanislaus County, CA (06099),276,"541,560",51
Sutter County, CA (06101),43,"96,651",44.5
Tehama County, CA (06103),37,"63,276",58.5
Tulare County, CA (06107),136,"460,437",29.5
Tuolumne County, CA (06109),12,"53,804",Unreliable
Ventura County, CA (06111),391,"849,738",46
Yolo County, CA (06113),89,"215,802",41.2
Yuba County, CA (06115),25,"75,275",33.2
Adams County, CO (08001),117,"498,187",23.5
Arapahoe County, CO (08005),232,"637,068",36.4
Boulder County, CO (08013),86,"322,226",26.7
Broomfield County, CO (08014),22,"66,529",33.1
Delta County, CO (08029),26,"30,442",85.4
Denver County, CO (08031),211,"693,060",30.4
Douglas County, CO (08035),91,"328,632",27.7
El Paso County, CO (08041),192,"688,284",27.9
Fremont County, CO (08043),17,"47,446",Unreliable
Garfield County, CO (08045),26,"58,887",44.2
Jefferson County, CO (08059),253,"571,837",44.2
Larimer County, CO (08069),163,"339,993",47.9
Mesa County, CO (08077),114,"150,083",76
Montrose County, CO (08085),23,"41,471",55.5
Pueblo County, CO (08101),55,"165,123",33.3
Weld County, CO (08123),95,"294,932",32.2
Fairfield County, CT (09001),259,"944,177",27.4
Hartford County, CT (09003),235,"892,389",26.3
Litchfield County, CT (09005),80,"182,571",43.8
Middlesex County, CT (09007),62,"163,329",38
New Haven County, CT (09009),252,"856,875",29.4
New London County, CT (09011),96,"269,801",35.6
Tolland County, CT (09013),15,"151,118",Unreliable
Windham County, CT (09015),36,"116,192",31
Kent County, DE (10001),57,"174,827",32.6
New Castle County, DE (10003),185,"556,987",33.2
Sussex County, DE (10005),87,"220,251",39.5
District of Columbia, DC (11001),120,"681,170",17.6
Alachua County, FL (12001),40,"263,496",15.2
Bay County, FL (12005),88,"183,974",47.8
Brevard County, FL (12009),170,"579,130",29.4
Broward County, FL (12011),404,"1,909,632",21.2
Charlotte County, FL (12015),134,"178,465",75.1
Citrus County, FL (12017),32,"143,621",22.3
Clay County, FL (12019),23,"208,311",11
Collier County, FL (12021),201,"365,136",55
Columbia County, FL (12023),14,"69,299",Unreliable
Duval County, FL (12031),138,"926,255",14.9
Escambia County, FL (12033),209,"315,187",66.3
Flagler County, FL (12035),37,"108,310",34.2
Gadsden County, FL (12039),14,"46,006",Unreliable
Hendry County, FL (12051),11,"39,290",Unreliable
Hernando County, FL (12053),106,"182,835",58
Highlands County, FL (12055),52,"100,917",51.5
Hillsborough County, FL (12057),399,"1,376,238",29
Indian River County, FL (12061),95,"151,563",62.7
