County,State(Code),Deaths,Population,Crude Rate Per 100000
Baldwin County, AL (01003),21,"208,563",10.1
Butler County, AL (01013),10,"19,998",Unreliable
Colbert County, AL (01033),11,"54,216",Unreliable
Cullman County, AL (01043),17,"82,471",Unreliable
Etowah County, AL (01055),11,"102,564",Unreliable
Houston County, AL (01069),16,"104,056",Unreliable
Jefferson County, AL (01073),59,"659,521",8.9
Lauderdale County, AL (01077),12,"92,318",Unreliable
Lee County, AL (01081),17,"158,991",Unreliable
Madison County, AL (01089),48,"356,967",13.4
Marshall County, AL (01095),11,"95,157",Unreliable
Mobile County, AL (01097),50,"414,836",12.1
Monroe County, AL (01099),13,"21,530",Unreliable
Montgomery County, AL (01101),55,"226,349",24.3
Russell County, AL (01113),14,"58,172",Unreliable
Tuscaloosa County, AL (01125),11,"206,102",Unreliable
Anchorage Borough, AK (02020),11,"298,192",Unreliable
Cochise County, AZ (04003),14,"125,770",Unreliable
Gila County, AZ (04007),11,"53,556",Unreliable
Maricopa County, AZ (04013),654,"4,242,997",15.4
Mohave County, AZ (04015),51,"205,249",24.8
Navajo County, AZ (04017),14,"110,026",Unreliable
Pima County, AZ (04019),134,"1,016,206",13.2
Pinal County, AZ (04021),70,"418,540",16.7
Yavapai County, AZ (04025),28,"225,562",12.4
Yuma County, AZ (04027),14,"205,631",Unreliable
Benton County, AR (05007),31,"258,291",12
Cleburne County, AR (05023),10,"25,264",Unreliable
Garland County, AR (05051),16,"97,477",Unreliable
Miller County, AR (05091),14,"43,787",Unreliable
Pulaski County, AR (05119),50,"393,250",12.7
Saline County, AR (05125),11,"118,703",Unreliable
Sebastian County, AR (05131),19,"127,793",Unreliable
Washington County, AR (05143),15,"228,049",Unreliable
Alameda County, CA (06001),222,"1,647,704",13.5
Butte County, CA (06007),26,"226,864",11.5
Contra Costa County, CA (06013),175,"1,135,127",15.4
El Dorado County, CA (06017),33,"185,625",17.8
Fresno County, CA (06019),217,"979,915",22.1
Humboldt County, CA (06023),13,"136,646",Unreliable
Imperial County, CA (06025),26,"180,883",14.4
Kern County, CA (06029),103,"884,788",11.6
Kings County, CA (06031),11,"149,785",Unreliable
Los Angeles County, CA (06037),"1,299","10,137,915",12.8
Madera County, CA (06039),28,"154,697",18.1
Marin County, CA (06041),28,"260,651",10.7
Mendocino County, CA (06045),10,"87,628",Unreliable
Merced County, CA (06047),28,"268,672",10.4
Monterey County, CA (06053),43,"435,232",9.9
Napa County, CA (06055),12,"142,166",Unreliable
Nevada County, CA (06057),14,"99,107",Unreliable
Orange County, CA (06059),266,"3,172,532",8.4
Placer County, CA (06061),43,"380,531",11.3
Riverside County, CA (06065),265,"2,387,741",11.1
Sacramento County, CA (06067),244,"1,514,460",16.1
San Benito County, CA (06069),11,"59,414",Unreliable
San Bernardino County, CA (06071),219,"2,140,096",10.2
San Diego County, CA (06073),403,"3,317,749",12.1
San Francisco County, CA (06075),74,"870,887",8.5
San Joaquin County, CA (06077),83,"733,709",11.3
San Luis Obispo County, CA (06079),31,"282,887",11
San Mateo County, CA (06081),86,"764,797",11.2
Santa Barbara County, CA (06083),35,"446,170",7.8
Santa Clara County, CA (06085),412,"1,919,402",21.5
Santa Cruz County, CA (06087),42,"274,673",15.3
Shasta County, CA (06089),32,"179,631",17.8
Siskiyou County, CA (06093),12,"43,603",Unreliable
Solano County, CA (06095),72,"440,207",16.4
Sonoma County, CA (06097),68,"503,070",13.5
Stanislaus County, CA (06099),81,"541,560",15
Sutter County, CA (06101),14,"96,651",Unreliable
Tehama County, CA (06103),12,"63,276",Unreliable
Tulare County, CA (06107),89,"460,437",19.3
Ventura County, CA (06111),134,"849,738",15.8
Yolo County, CA (06113),28,"215,802",13
Yuba County, CA (06115),10,"75,275",Unreliable
Adams County, CO (08001),14,"498,187",Unreliable
Arapahoe County, CO (08005),33,"637,068",5.2
Boulder County, CO (08013),14,"322,226",Unreliable
Denver County, CO (08031),23,"693,060",3.3
El Paso County, CO (08041),45,"688,284",6.5
Jefferson County, CO (08059),16,"571,837",Unreliable
Larimer County, CO (08069),17,"339,993",Unreliable
Mesa County, CO (08077),12,"150,083",Unreliable
Pueblo County, CO (08101),13,"165,123",Unreliable
Weld County, CO (08123),14,"294,932",Unreliable
Fairfield County, CT (09001),51,"944,177",5.4
Hartford County, CT (09003),100,"892,389",11.2
Litchfield County, CT (09005),18,"182,571",Unreliable
Middlesex County, CT (09007),12,"163,329",Unreliable
New Haven County, CT (09009),93,"856,875",10.9
New London County, CT (09011),28,"269,801",10.4
Kent County, DE (10001),12,"174,827",Unreliable
New Castle County, DE (10003),32,"556,987",5.7
Sussex County, DE (10005),15,"220,251",Unreliable
District of Columbia, DC (11001),69,"681,170",10.1
Alachua County, FL (12001),34,"263,496",12.9
Bay County, FL (12005),31,"183,974",16.9
Bradford County, FL (12007),11,"26,926",Unreliable
Brevard County, FL (12009),52,"579,130",9
Broward County, FL (12011),166,"1,909,632",8.7
Charlotte County, FL (12015),38,"178,465",21.3
Citrus County, FL (12017),80,"143,621",55.7
Clay County, FL (12019),22,"208,311",10.6
Collier County, FL (12021),32,"365,136",8.8
Columbia County, FL (12023),11,"69,299",Unreliable
Duval County, FL (12031),135,"926,255",14.6
Escambia County, FL (12033),39,"315,187",12.4
Flagler County, FL (12035),19,"108,310",Unreliable
Gadsden County, FL (12039),11,"46,006",Unreliable
Hernando County, FL (12053),37,"182,835",20.2
Highlands County, FL (12055),14,"100,917",Unreliable
Hillsborough County, FL (12057),135,"1,376,238",9.8
Indian River County, FL (12061),28,"151,563",18.5
Lake County, FL (12069),57,"335,396",17
Lee County, FL (12071),120,"722,336",16.6
Leon County, FL (12073),22,"287,822",7.6
Manatee County, FL (12081),58,"375,888",15.4
Marion County, FL (12083),69,"349,020",19.8
Martin County, FL (12085),11,"158,701",Unreliable
Miami-Dade County, FL (12086),269,"2,712,945",9.9
Okaloosa County, FL (12091),18,"201,170",Unreliable
Orange County, FL (12095),99,"1,314,367",7.5
Osceola County, FL (12097),18,"336,015",Unreliable
Palm Beach County, FL (12099),137,"1,443,810",9.5
Pasco County, FL (12101),62,"512,368",12.1
Pinellas County, FL (12103),121,"960,730",12.6
Polk County, FL (12105),70,"666,149",10.5
Putnam County, FL (12107),10,"72,277",Unreliable
St. Johns County, FL (12109),21,"235,087",8.9
St. Lucie County, FL (12111),37,"306,507",12.1
Santa Rosa County, FL (12113),11,"170,497",Unreliable
Sarasota County, FL (12115),54,"412,569",13.1
Seminole County, FL (12117),54,"455,479",11.9
Sumter County, FL (12119),14,"123,996",Unreliable
Volusia County, FL (12127),116,"529,364",21.9
Walton County, FL (12131),12,"65,889",Unreliable
Barrow County, GA (13013),16,"77,126",Unreliable
Bibb County, GA (13021),17,"152,760",Unreliable
Brooks County, GA (13027),12,"15,687",Unreliable
Bulloch County, GA (13031),18,"74,722",Unreliable
Carroll County, GA (13045),13,"116,261",Unreliable
Catoosa County, GA (13047),11,"66,398",Unreliable
Chatham County, GA (13051),25,"289,082",8.6
Clayton County, GA (13063),29,"279,462",10.4
Cobb County, GA (13067),37,"748,150",4.9
Columbia County, GA (13073),25,"147,450",17
DeKalb County, GA (13089),110,"740,321",14.9
Dougherty County, GA (13095),41,"90,017",45.5
Forsyth County, GA (13117),13,"221,009",Unreliable
Fulton County, GA (13121),128,"1,023,336",12.5
Gwinnett County, GA (13135),58,"907,135",6.4
Hall County, GA (13139),18,"196,637",Unreliable
Henry County, GA (13151),15,"221,768",Unreliable
Houston County, GA (13153),11,"152,122",Unreliable
Jackson County, GA (13157),12,"64,615",Unreliable
Lowndes County, GA (13185),25,"114,628",21.8
Muscogee County, GA (13215),28,"197,485",14.2
Putnam County, GA (13237),16,"21,477",Unreliable
Randolph County, GA (13243),12,"7,177",Unreliable
Richmond County, GA (13245),11,"201,647",Unreliable
Spalding County, GA (13255),14,"64,806",Unreliable
Thomas County, GA (13275),13,"45,248",Unreliable
Troup County, GA (13285),17,"70,005",Unreliable
Hawaii County, HI (15001),14,"198,449",Unreliable
Honolulu County, HI (15003),72,"992,605",7.3
Kauai County, HI (15007),10,"72,029",Unreliable
Maui County, HI (15009),20,"165,386",12.1
Ada County, ID (16001),15,"444,028",Unreliable
Bonneville County, ID (16019),11,"112,232",Unreliable
Canyon County, ID (16027),19,"211,698",Unreliable
Kootenai County, ID (16055),15,"154,311",Unreliable
Nez Perce County, ID (16069),10,"40,369",Unreliable
Adams County, IL (17001),13,"66,578",Unreliable
Champaign County, IL (17019),13,"208,419",Unreliable
Coles County, IL (17029),18,"52,343",Unreliable
