County,State(Code),Deaths,Population,Crude Rate Per 100000
Baldwin County, AL (01003),47,"208,563",22.5
Barbour County, AL (01005),11,"25,965",Unreliable
Calhoun County, AL (01015),25,"114,611",21.8
Colbert County, AL (01033),15,"54,216",Unreliable
Covington County, AL (01039),14,"37,458",Unreliable
Cullman County, AL (01043),29,"82,471",35.2
Dallas County, AL (01047),13,"40,008",Unreliable
DeKalb County, AL (01049),16,"70,900",Unreliable
Elmore County, AL (01051),19,"81,799",Unreliable
Escambia County, AL (01053),21,"37,728",55.7
Etowah County, AL (01055),29,"102,564",28.3
Houston County, AL (01069),20,"104,056",19.2
Jackson County, AL (01071),11,"52,138",Unreliable
Jefferson County, AL (01073),151,"659,521",22.9
Lauderdale County, AL (01077),26,"92,318",28.2
Lawrence County, AL (01079),16,"33,244",Unreliable
Lee County, AL (01081),15,"158,991",Unreliable
Limestone County, AL (01083),14,"92,753",Unreliable
Madison County, AL (01089),71,"356,967",19.9
Marshall County, AL (01095),25,"95,157",26.3
Mobile County, AL (01097),63,"414,836",15.2
Montgomery County, AL (01101),39,"226,349",17.2
Morgan County, AL (01103),23,"119,012",19.3
Russell County, AL (01113),12,"58,172",Unreliable
St. Clair County, AL (01115),19,"88,019",Unreliable
Shelby County, AL (01117),25,"210,622",11.9
Talladega County, AL (01121),18,"80,103",Unreliable
Tuscaloosa County, AL (01125),29,"206,102",14.1
Walker County, AL (01127),31,"64,967",47.7
Anchorage Borough, AK (02020),23,"298,192",7.7
Matanuska-Susitna Borough, AK (02170),12,"104,365",Unreliable
Apache County, AZ (04001),11,"73,112",Unreliable
Cochise County, AZ (04003),34,"125,770",27
Coconino County, AZ (04005),11,"140,908",Unreliable
Gila County, AZ (04007),14,"53,556",Unreliable
Maricopa County, AZ (04013),162,"4,242,997",3.8
Mohave County, AZ (04015),46,"205,249",22.4
Navajo County, AZ (04017),18,"110,026",Unreliable
Pima County, AZ (04019),101,"1,016,206",9.9
Pinal County, AZ (04021),35,"418,540",8.4
Yavapai County, AZ (04025),24,"225,562",10.6
Yuma County, AZ (04027),20,"205,631",9.7
Arkansas County, AR (05001),11,"18,214",Unreliable
Baxter County, AR (05005),28,"41,062",68.2
Benton County, AR (05007),26,"258,291",10.1
Boone County, AR (05009),10,"37,304",Unreliable
Clark County, AR (05019),12,"22,657",Unreliable
Clay County, AR (05021),10,"14,920",Unreliable
Cleburne County, AR (05023),11,"25,264",Unreliable
Craighead County, AR (05031),20,"105,835",18.9
Crittenden County, AR (05035),10,"49,235",Unreliable
Faulkner County, AR (05045),23,"122,227",18.8
Garland County, AR (05051),31,"97,477",31.8
Greene County, AR (05055),16,"44,598",Unreliable
Jefferson County, AR (05069),24,"70,016",34.3
Lonoke County, AR (05085),18,"72,228",Unreliable
Polk County, AR (05113),13,"20,173",Unreliable
Pope County, AR (05115),18,"63,779",Unreliable
Pulaski County, AR (05119),78,"393,250",19.8
St. Francis County, AR (05123),11,"26,196",Unreliable
Saline County, AR (05125),39,"118,703",32.9
Sebastian County, AR (05131),30,"127,793",23.5
Union County, AR (05139),13,"39,887",Unreliable
Van Buren County, AR (05141),12,"16,628",Unreliable
Washington County, AR (05143),14,"228,049",Unreliable
White County, AR (05145),19,"79,263",Unreliable
