County,State(Code),Deaths,Population,Crude Rate Per 100000
Baldwin County, AL (01003),24,"208,563",11.5
Blount County, AL (01009),26,"57,704",45.1
Calhoun County, AL (01015),27,"114,611",23.6
Cherokee County, AL (01019),11,"25,725",Unreliable
Coffee County, AL (01031),11,"51,226",Unreliable
Colbert County, AL (01033),11,"54,216",Unreliable
Covington County, AL (01039),14,"37,458",Unreliable
Cullman County, AL (01043),10,"82,471",Unreliable
DeKalb County, AL (01049),25,"70,900",35.3
Elmore County, AL (01051),10,"81,799",Unreliable
Escambia County, AL (01053),14,"37,728",Unreliable
Etowah County, AL (01055),26,"102,564",25.4
Houston County, AL (01069),11,"104,056",Unreliable
Jackson County, AL (01071),14,"52,138",Unreliable
Jefferson County, AL (01073),139,"659,521",21.1
Lauderdale County, AL (01077),29,"92,318",31.4
Lawrence County, AL (01079),14,"33,244",Unreliable
Madison County, AL (01089),38,"356,967",10.6
Marion County, AL (01093),11,"29,998",Unreliable
Marshall County, AL (01095),34,"95,157",35.7
Mobile County, AL (01097),81,"414,836",19.5
Montgomery County, AL (01101),34,"226,349",15
Morgan County, AL (01103),19,"119,012",Unreliable
Pickens County, AL (01107),10,"20,324",Unreliable
Russell County, AL (01113),16,"58,172",Unreliable
St. Clair County, AL (01115),38,"88,019",43.2
Shelby County, AL (01117),16,"210,622",Unreliable
Talladega County, AL (01121),22,"80,103",27.5
Tallapoosa County, AL (01123),17,"40,727",Unreliable
Tuscaloosa County, AL (01125),50,"206,102",24.3
Walker County, AL (01127),17,"64,967",Unreliable
Winston County, AL (01133),12,"23,805",Unreliable
Anchorage Borough, AK (02020),30,"298,192",10.1
Apache County, AZ (04001),16,"73,112",Unreliable
Cochise County, AZ (04003),33,"125,770",26.2
Coconino County, AZ (04005),11,"140,908",Unreliable
Gila County, AZ (04007),11,"53,556",Unreliable
Maricopa County, AZ (04013),406,"4,242,997",9.6
Mohave County, AZ (04015),56,"205,249",27.3
Navajo County, AZ (04017),24,"110,026",21.8
Pima County, AZ (04019),176,"1,016,206",17.3
Pinal County, AZ (04021),45,"418,540",10.8
Yavapai County, AZ (04025),43,"225,562",19.1
Yuma County, AZ (04027),48,"205,631",23.3
Baxter County, AR (05005),12,"41,062",Unreliable
Benton County, AR (05007),22,"258,291",8.5
Craighead County, AR (05031),19,"105,835",Unreliable
Crawford County, AR (05033),10,"62,267",Unreliable
Cross County, AR (05037),10,"17,037",Unreliable
Drew County, AR (05043),11,"18,651",Unreliable
Faulkner County, AR (05045),16,"122,227",Unreliable
Garland County, AR (05051),39,"97,477",40
Greene County, AR (05055),15,"44,598",Unreliable
Hot Spring County, AR (05059),12,"33,374",Unreliable
Independence County, AR (05063),12,"37,168",Unreliable
Izard County, AR (05065),10,"13,433",Unreliable
Jefferson County, AR (05069),16,"70,016",Unreliable
Lawrence County, AR (05075),10,"16,735",Unreliable
Mississippi County, AR (05093),14,"42,835",Unreliable
Pope County, AR (05115),12,"63,779",Unreliable
Pulaski County, AR (05119),62,"393,250",15.8
St. Francis County, AR (05123),14,"26,196",Unreliable
Saline County, AR (05125),15,"118,703",Unreliable
Sebastian County, AR (05131),17,"127,793",Unreliable
Union County, AR (05139),11,"39,887",Unreliable
Washington County, AR (05143),13,"228,049",Unreliable
White County, AR (05145),21,"79,263",26.5
Alameda County, CA (06001),204,"1,647,704",12.4
Butte County, CA (06007),35,"226,864",15.4
Contra Costa County, CA (06013),141,"1,135,127",12.4
El Dorado County, CA (06017),27,"185,625",14.5
Fresno County, CA (06019),144,"979,915",14.7
Humboldt County, CA (06023),15,"136,646",Unreliable
Imperial County, CA (06025),48,"180,883",26.5
Kern County, CA (06029),89,"884,788",10.1
Kings County, CA (06031),21,"149,785",14
Lake County, CA (06033),24,"64,116",37.4
Los Angeles County, CA (06037),"2,082","10,137,915",20.5
Madera County, CA (06039),22,"154,697",14.2
Marin County, CA (06041),40,"260,651",15.3
Mendocino County, CA (06045),16,"87,628",Unreliable
Merced County, CA (06047),43,"268,672",16
Monterey County, CA (06053),49,"435,232",11.3
Napa County, CA (06055),21,"142,166",14.8
Nevada County, CA (06057),17,"99,107",Unreliable
Orange County, CA (06059),559,"3,172,532",17.6
Placer County, CA (06061),58,"380,531",15.2
Riverside County, CA (06065),265,"2,387,741",11.1
Sacramento County, CA (06067),235,"1,514,460",15.5
San Bernardino County, CA (06071),250,"2,140,096",11.7
San Diego County, CA (06073),361,"3,317,749",10.9
San Francisco County, CA (06075),121,"870,887",13.9
San Joaquin County, CA (06077),119,"733,709",16.2
San Luis Obispo County, CA (06079),31,"282,887",11
San Mateo County, CA (06081),89,"764,797",11.6
Santa Barbara County, CA (06083),52,"446,170",11.7
Santa Clara County, CA (06085),170,"1,919,402",8.9
Santa Cruz County, CA (06087),27,"274,673",9.8
Shasta County, CA (06089),40,"179,631",22.3
Siskiyou County, CA (06093),11,"43,603",Unreliable
Solano County, CA (06095),77,"440,207",17.5
Sonoma County, CA (06097),67,"503,070",13.3
Stanislaus County, CA (06099),92,"541,560",17
Sutter County, CA (06101),21,"96,651",21.7
Tulare County, CA (06107),88,"460,437",19.1
Tuolumne County, CA (06109),18,"53,804",Unreliable
Ventura County, CA (06111),80,"849,738",9.4
Yolo County, CA (06113),28,"215,802",13
Yuba County, CA (06115),17,"75,275",Unreliable
Adams County, CO (08001),38,"498,187",7.6
Arapahoe County, CO (08005),57,"637,068",8.9
Boulder County, CO (08013),26,"322,226",8.1
Denver County, CO (08031),67,"693,060",9.7
Douglas County, CO (08035),14,"328,632",Unreliable
El Paso County, CO (08041),53,"688,284",7.7
Jefferson County, CO (08059),64,"571,837",11.2
Larimer County, CO (08069),39,"339,993",11.5
Mesa County, CO (08077),13,"150,083",Unreliable
Montrose County, CO (08085),11,"41,471",Unreliable
Pueblo County, CO (08101),20,"165,123",12.1
Weld County, CO (08123),22,"294,932",7.5
Fairfield County, CT (09001),138,"944,177",14.6
Hartford County, CT (09003),160,"892,389",17.9
Litchfield County, CT (09005),31,"182,571",17
Middlesex County, CT (09007),16,"163,329",Unreliable
New Haven County, CT (09009),143,"856,875",16.7
New London County, CT (09011),43,"269,801",15.9
Tolland County, CT (09013),21,"151,118",13.9
Windham County, CT (09015),20,"116,192",17.2
Kent County, DE (10001),25,"174,827",14.3
New Castle County, DE (10003),76,"556,987",13.6
Sussex County, DE (10005),31,"220,251",14.1
District of Columbia, DC (11001),78,"681,170",11.5
Alachua County, FL (12001),22,"263,496",8.3
Bay County, FL (12005),38,"183,974",20.7
Brevard County, FL (12009),101,"579,130",17.4
Broward County, FL (12011),177,"1,909,632",9.3
Charlotte County, FL (12015),65,"178,465",36.4
Citrus County, FL (12017),18,"143,621",Unreliable
Clay County, FL (12019),20,"208,311",9.6
Collier County, FL (12021),31,"365,136",8.5
Duval County, FL (12031),147,"926,255",15.9
Escambia County, FL (12033),40,"315,187",12.7
Flagler County, FL (12035),18,"108,310",Unreliable
Hernando County, FL (12053),22,"182,835",12
Highlands County, FL (12055),25,"100,917",24.8
Hillsborough County, FL (12057),186,"1,376,238",13.5
Indian River County, FL (12061),25,"151,563",16.5
Jackson County, FL (12063),11,"48,229",Unreliable
Lake County, FL (12069),40,"335,396",11.9
Lee County, FL (12071),65,"722,336",9
Leon County, FL (12073),24,"287,822",8.3
Manatee County, FL (12081),39,"375,888",10.4
Marion County, FL (12083),47,"349,020",13.5
Martin County, FL (12085),28,"158,701",17.6
Miami-Dade County, FL (12086),290,"2,712,945",10.7
Monroe County, FL (12087),17,"79,077",Unreliable
Nassau County, FL (12089),19,"80,622",Unreliable
Okaloosa County, FL (12091),26,"201,170",12.9
Orange County, FL (12095),111,"1,314,367",8.4
Osceola County, FL (12097),30,"336,015",8.9
Palm Beach County, FL (12099),198,"1,443,810",13.7
Pasco County, FL (12101),78,"512,368",15.2
Pinellas County, FL (12103),236,"960,730",24.6
Polk County, FL (12105),139,"666,149",20.9
Putnam County, FL (12107),13,"72,277",Unreliable
St. Johns County, FL (12109),33,"235,087",14
St. Lucie County, FL (12111),40,"306,507",13.1
Santa Rosa County, FL (12113),19,"170,497",Unreliable
Sarasota County, FL (12115),89,"412,569",21.6
Seminole County, FL (12117),41,"455,479",9
Sumter County, FL (12119),19,"123,996",Unreliable
Volusia County, FL (12127),112,"529,364",21.2
Bartow County, GA (13015),17,"103,807",Unreliable
Bibb County, GA (13021),34,"152,760",22.3
Carroll County, GA (13045),26,"116,261",22.4
Chatham County, GA (13051),46,"289,082",15.9
Cherokee County, GA (13057),27,"241,689",11.2
Clayton County, GA (13063),19,"279,462",Unreliable
Cobb County, GA (13067),62,"748,150",8.3
Coffee County, GA (13069),13,"43,012",Unreliable
Colquitt County, GA (13071),12,"45,708",Unreliable
Columbia County, GA (13073),17,"147,450",Unreliable
Coweta County, GA (13077),13,"140,526",Unreliable
DeKalb County, GA (13089),56,"740,321",7.6
Dougherty County, GA (13095),15,"90,017",Unreliable
Douglas County, GA (13097),11,"142,224",Unreliable
Effingham County, GA (13103),12,"58,712",Unreliable
Fayette County, GA (13113),16,"111,627",Unreliable
Floyd County, GA (13115),19,"96,560",Unreliable
Fulton County, GA (13121),103,"1,023,336",10.1
Gordon County, GA (13129),16,"56,904",Unreliable
Gwinnett County, GA (13135),64,"907,135",7.1
Habersham County, GA (13137),21,"44,246",47.5
Hall County, GA (13139),29,"196,637",14.7
Haralson County, GA (13143),11,"29,042",Unreliable
Henry County, GA (13151),21,"221,768",9.5
Houston County, GA (13153),25,"152,122",16.4
Laurens County, GA (13175),13,"47,516",Unreliable
Lowndes County, GA (13185),12,"114,628",Unreliable
Muscogee County, GA (13215),30,"197,485",15.2
Richmond County, GA (13245),40,"201,647",19.8
Spalding County, GA (13255),24,"64,806",37
Stephens County, GA (13257),10,"25,751",Unreliable
Thomas County, GA (13275),10,"45,248",Unreliable
Tift County, GA (13277),11,"40,828",Unreliable
Towns County, GA (13281),10,"11,391",Unreliable
Troup County, GA (13285),15,"70,005",Unreliable
Walker County, GA (13295),15,"67,896",Unreliable
Walton County, GA (13297),15,"90,184",Unreliable
Washington County, GA (13303),10,"20,457",Unreliable
Whitfield County, GA (13313),27,"104,589",25.8
Hawaii County, HI (15001),37,"198,449",18.6
Honolulu County, HI (15003),433,"992,605",43.6
Kauai County, HI (15007),16,"72,029",Unreliable
Maui County, HI (15009),21,"165,386",12.7
Ada County, ID (16001),41,"444,028",9.2
Bannock County, ID (16005),18,"84,377",Unreliable
Bonneville County, ID (16019),11,"112,232",Unreliable
Canyon County, ID (16027),23,"211,698",10.9
Kootenai County, ID (16055),13,"154,311",Unreliable
Twin Falls County, ID (16083),13,"83,514",Unreliable
Adams County, IL (17001),16,"66,578",Unreliable
Bureau County, IL (17011),13,"33,359",Unreliable
Champaign County, IL (17019),22,"208,419",10.6
Clinton County, IL (17027),12,"37,729",Unreliable
Coles County, IL (17029),11,"52,343",Unreliable
Cook County, IL (17031),900,"5,203,499",17.3
DuPage County, IL (17043),115,"929,368",12.4
Effingham County, IL (17049),11,"34,386",Unreliable
Franklin County, IL (17055),11,"39,156",Unreliable
Grundy County, IL (17063),10,"50,437",Unreliable
Henry County, IL (17073),13,"49,280",Unreliable
Jackson County, IL (17077),14,"58,870",Unreliable
Jersey County, IL (17083),11,"22,025",Unreliable
Kane County, IL (17089),50,"531,715",9.4
Kankakee County, IL (17091),28,"110,008",25.5
Knox County, IL (17095),16,"50,938",Unreliable
Lake County, IL (17097),74,"703,047",10.5
LaSalle County, IL (17099),25,"110,642",22.6
Logan County, IL (17107),15,"29,527",Unreliable
McDonough County, IL (17109),10,"30,996",Unreliable
McHenry County, IL (17111),21,"307,004",6.8
McLean County, IL (17113),13,"172,418",Unreliable
Macon County, IL (17115),26,"106,550",24.4
Madison County, IL (17119),35,"265,759",13.2
Marion County, IL (17121),10,"38,140",Unreliable
Marshall County, IL (17123),10,"11,939",Unreliable
Morgan County, IL (17137),10,"34,277",Unreliable
Peoria County, IL (17143),54,"185,006",29.2
Randolph County, IL (17157),10,"32,621",Unreliable
Rock Island County, IL (17161),34,"144,784",23.5
St. Clair County, IL (17163),55,"262,759",20.9
Saline County, IL (17165),15,"24,307",Unreliable
Sangamon County, IL (17167),32,"197,499",16.2
Stephenson County, IL (17177),11,"45,624",Unreliable
Tazewell County, IL (17179),42,"134,385",31.3
Union County, IL (17181),10,"17,212",Unreliable
Whiteside County, IL (17195),13,"56,536",Unreliable
Will County, IL (17197),81,"689,529",11.7
Williamson County, IL (17199),18,"67,560",Unreliable
Winnebago County, IL (17201),28,"285,873",9.8
Allen County, IN (18003),37,"370,404",10
Boone County, IN (18011),10,"64,653",Unreliable
Clark County, IN (18019),28,"116,031",24.1
De Kalb County, IN (18033),10,"42,746",Unreliable
Delaware County, IN (18035),23,"115,603",19.9
Elkhart County, IN (18039),28,"203,781",13.7
Floyd County, IN (18043),13,"76,990",Unreliable
Grant County, IN (18053),13,"66,937",Unreliable
Hamilton County, IN (18057),22,"316,373",7
Hancock County, IN (18059),14,"73,717",Unreliable
Hendricks County, IN (18063),23,"160,610",14.3
Henry County, IN (18065),16,"48,521",Unreliable
Howard County, IN (18067),13,"82,568",Unreliable
Huntington County, IN (18069),12,"36,400",Unreliable
Jefferson County, IN (18077),11,"32,418",Unreliable
Johnson County, IN (18081),17,"151,982",Unreliable
Kosciusko County, IN (18085),15,"79,092",Unreliable
Lake County, IN (18089),57,"485,846",11.7
La Porte County, IN (18091),14,"110,015",Unreliable
Madison County, IN (18095),22,"129,296",17
Marion County, IN (18097),123,"941,229",13.1
Monroe County, IN (18105),23,"145,496",15.8
Morgan County, IN (18109),13,"69,698",Unreliable
Porter County, IN (18127),21,"167,791",12.5
St. Joseph County, IN (18141),38,"269,141",14.1
Shelby County, IN (18145),10,"44,324",Unreliable
Tippecanoe County, IN (18157),17,"188,059",Unreliable
