County,State(Code),Deaths,Population,Crude Rate Per 100000
Baldwin County, AL (01003),10,"208,563",Unreliable
Jefferson County, AL (01073),53,"659,521",8
Madison County, AL (01089),29,"356,967",8.1
Marshall County, AL (01095),10,"95,157",Unreliable
Mobile County, AL (01097),31,"414,836",7.5
Morgan County, AL (01103),13,"119,012",Unreliable
Tuscaloosa County, AL (01125),16,"206,102",Unreliable
Anchorage Borough, AK (02020),13,"298,192",Unreliable
Maricopa County, AZ (04013),130,"4,242,997",3.1
Mohave County, AZ (04015),12,"205,249",Unreliable
Pima County, AZ (04019),80,"1,016,206",7.9
Pinal County, AZ (04021),15,"418,540",Unreliable
Yavapai County, AZ (04025),13,"225,562",Unreliable
Faulkner County, AR (05045),12,"122,227",Unreliable
Pulaski County, AR (05119),14,"393,250",Unreliable
Alameda County, CA (06001),133,"1,647,704",8.1
Butte County, CA (06007),21,"226,864",9.3
Contra Costa County, CA (06013),115,"1,135,127",10.1
El Dorado County, CA (06017),16,"185,625",Unreliable
Fresno County, CA (06019),75,"979,915",7.7
Imperial County, CA (06025),11,"180,883",Unreliable
Kern County, CA (06029),21,"884,788",2.4
Los Angeles County, CA (06037),40,"10,137,915",0.4
Marin County, CA (06041),24,"260,651",9.2
Mendocino County, CA (06045),11,"87,628",Unreliable
Monterey County, CA (06053),41,"435,232",9.4
Napa County, CA (06055),19,"142,166",Unreliable
Orange County, CA (06059),73,"3,172,532",2.3
Placer County, CA (06061),45,"380,531",11.8
Riverside County, CA (06065),29,"2,387,741",1.2
Sacramento County, CA (06067),128,"1,514,460",8.5
San Bernardino County, CA (06071),62,"2,140,096",2.9
San Diego County, CA (06073),182,"3,317,749",5.5
San Francisco County, CA (06075),62,"870,887",7.1
San Joaquin County, CA (06077),50,"733,709",6.8
San Luis Obispo County, CA (06079),16,"282,887",Unreliable
San Mateo County, CA (06081),69,"764,797",9
Santa Barbara County, CA (06083),34,"446,170",7.6
Santa Clara County, CA (06085),38,"1,919,402",2
Santa Cruz County, CA (06087),20,"274,673",7.3
Shasta County, CA (06089),41,"179,631",22.8
Solano County, CA (06095),28,"440,207",6.4
Sonoma County, CA (06097),40,"503,070",8
Stanislaus County, CA (06099),19,"541,560",Unreliable
Tehama County, CA (06103),14,"63,276",Unreliable
Tulare County, CA (06107),28,"460,437",6.1
Ventura County, CA (06111),29,"849,738",3.4
Adams County, CO (08001),19,"498,187",Unreliable
Arapahoe County, CO (08005),38,"637,068",6
Boulder County, CO (08013),18,"322,226",Unreliable
Denver County, CO (08031),31,"693,060",4.5
Douglas County, CO (08035),10,"328,632",Unreliable
El Paso County, CO (08041),28,"688,284",4.1
Jefferson County, CO (08059),32,"571,837",5.6
Larimer County, CO (08069),15,"339,993",Unreliable
Pueblo County, CO (08101),32,"165,123",19.4
Fairfield County, CT (09001),84,"944,177",8.9
