County,State(Code),Deaths,Population,Crude Rate Per 100000
Autauga County, AL (01001),36,"55,416",65
Baldwin County, AL (01003),110,"208,563",52.7
Barbour County, AL (01005),20,"25,965",77
Bibb County, AL (01007),15,"22,643",Unreliable
Blount County, AL (01009),36,"57,704",62.4
Butler County, AL (01013),25,"19,998",125
Calhoun County, AL (01015),51,"114,611",44.5
Chambers County, AL (01017),27,"33,843",79.8
Cherokee County, AL (01019),11,"25,725",Unreliable
Chilton County, AL (01021),25,"43,941",56.9
Choctaw County, AL (01023),20,"12,993",153.9
Clarke County, AL (01025),14,"24,392",Unreliable
Coffee County, AL (01031),26,"51,226",50.8
Colbert County, AL (01033),38,"54,216",70.1
Conecuh County, AL (01035),16,"12,395",Unreliable
Covington County, AL (01039),30,"37,458",80.1
Crenshaw County, AL (01041),11,"13,913",Unreliable
Cullman County, AL (01043),54,"82,471",65.5
Dale County, AL (01045),29,"49,226",58.9
Dallas County, AL (01047),31,"40,008",77.5
DeKalb County, AL (01049),39,"70,900",55
Elmore County, AL (01051),44,"81,799",53.8
Escambia County, AL (01053),32,"37,728",84.8
Etowah County, AL (01055),58,"102,564",56.6
Fayette County, AL (01057),11,"16,546",Unreliable
Franklin County, AL (01059),25,"31,628",79
Geneva County, AL (01061),16,"26,614",Unreliable
Hale County, AL (01065),13,"14,952",Unreliable
Henry County, AL (01067),14,"17,164",Unreliable
Houston County, AL (01069),53,"104,056",50.9
Jackson County, AL (01071),40,"52,138",76.7
Jefferson County, AL (01073),490,"659,521",74.3
Lamar County, AL (01075),11,"13,918",Unreliable
Lauderdale County, AL (01077),65,"92,318",70.4
Lawrence County, AL (01079),21,"33,244",63.2
Lee County, AL (01081),36,"158,991",22.6
Limestone County, AL (01083),35,"92,753",37.7
Macon County, AL (01087),14,"18,963",Unreliable
Madison County, AL (01089),174,"356,967",48.7
Marengo County, AL (01091),15,"19,673",Unreliable
Marion County, AL (01093),27,"29,998",90
Marshall County, AL (01095),72,"95,157",75.7
Mobile County, AL (01097),248,"414,836",59.8
Monroe County, AL (01099),20,"21,530",92.9
Montgomery County, AL (01101),151,"226,349",66.7
Morgan County, AL (01103),79,"119,012",66.4
Pike County, AL (01109),14,"33,286",Unreliable
Randolph County, AL (01111),15,"22,652",Unreliable
Russell County, AL (01113),32,"58,172",55
St. Clair County, AL (01115),55,"88,019",62.5
Shelby County, AL (01117),92,"210,622",43.7
Sumter County, AL (01119),11,"13,040",Unreliable
Talladega County, AL (01121),66,"80,103",82.4
Tallapoosa County, AL (01123),30,"40,727",73.7
Tuscaloosa County, AL (01125),83,"206,102",40.3
Walker County, AL (01127),53,"64,967",81.6
Washington County, AL (01129),14,"16,756",Unreliable
