County,State(Code),Deaths,Population,Crude Rate Per 100000
Autauga County, AL (01001),14,"55,416",Unreliable
Baldwin County, AL (01003),42,"208,563",20.1
Blount County, AL (01009),11,"57,704",Unreliable
Calhoun County, AL (01015),25,"114,611",21.8
Chambers County, AL (01017),15,"33,843",Unreliable
Coffee County, AL (01031),10,"51,226",Unreliable
Cullman County, AL (01043),19,"82,471",Unreliable
DeKalb County, AL (01049),10,"70,900",Unreliable
Elmore County, AL (01051),21,"81,799",25.7
Escambia County, AL (01053),10,"37,728",Unreliable
Etowah County, AL (01055),17,"102,564",Unreliable
Houston County, AL (01069),10,"104,056",Unreliable
Jackson County, AL (01071),14,"52,138",Unreliable
Jefferson County, AL (01073),84,"659,521",12.7
Lauderdale County, AL (01077),20,"92,318",21.7
Lee County, AL (01081),17,"158,991",Unreliable
Limestone County, AL (01083),10,"92,753",Unreliable
Madison County, AL (01089),76,"356,967",21.3
Marshall County, AL (01095),17,"95,157",Unreliable
Mobile County, AL (01097),71,"414,836",17.1
Montgomery County, AL (01101),30,"226,349",13.3
Morgan County, AL (01103),28,"119,012",23.5
St. Clair County, AL (01115),16,"88,019",Unreliable
Shelby County, AL (01117),31,"210,622",14.7
Talladega County, AL (01121),10,"80,103",Unreliable
Tuscaloosa County, AL (01125),24,"206,102",11.6
Walker County, AL (01127),15,"64,967",Unreliable
Anchorage Borough, AK (02020),69,"298,192",23.1
Bethel Census Area, AK (02050),11,"17,968",Unreliable
Fairbanks North Star Borough, AK (02090),25,"100,605",24.8
Kenai Peninsula Borough, AK (02122),18,"58,506",Unreliable
Matanuska-Susitna Borough, AK (02170),22,"104,365",21.1
Wade Hampton Census Area, AK (02270),10,"8,049",Unreliable
Apache County, AZ (04001),20,"73,112",27.4
Cochise County, AZ (04003),31,"125,770",24.6
Coconino County, AZ (04005),25,"140,908",17.7
Gila County, AZ (04007),14,"53,556",Unreliable
Graham County, AZ (04009),12,"37,599",Unreliable
Maricopa County, AZ (04013),697,"4,242,997",16.4
Mohave County, AZ (04015),71,"205,249",34.6
Navajo County, AZ (04017),36,"110,026",32.7
Pima County, AZ (04019),186,"1,016,206",18.3
Pinal County, AZ (04021),69,"418,540",16.5
Yavapai County, AZ (04025),82,"225,562",36.4
Yuma County, AZ (04027),26,"205,631",12.6
Baxter County, AR (05005),15,"41,062",Unreliable
Benton County, AR (05007),43,"258,291",16.6
Craighead County, AR (05031),20,"105,835",18.9
Crawford County, AR (05033),11,"62,267",Unreliable
Faulkner County, AR (05045),23,"122,227",18.8
Garland County, AR (05051),18,"97,477",Unreliable
Greene County, AR (05055),14,"44,598",Unreliable
Jefferson County, AR (05069),12,"70,016",Unreliable
Lonoke County, AR (05085),14,"72,228",Unreliable
Pulaski County, AR (05119),75,"393,250",19.1
Saline County, AR (05125),18,"118,703",Unreliable
Sebastian County, AR (05131),21,"127,793",16.4
Union County, AR (05139),10,"39,887",Unreliable
Washington County, AR (05143),39,"228,049",17.1
White County, AR (05145),14,"79,263",Unreliable
Alameda County, CA (06001),159,"1,647,704",9.6
Amador County, CA (06005),10,"37,383",Unreliable
Butte County, CA (06007),49,"226,864",21.6
Contra Costa County, CA (06013),141,"1,135,127",12.4
El Dorado County, CA (06017),42,"185,625",22.6
Fresno County, CA (06019),103,"979,915",10.5
Humboldt County, CA (06023),36,"136,646",26.3
