County,State(Code),Deaths,Population,Crude Rate Per 100000
Autauga County, AL (01001),30,"55,416",54.1
Baldwin County, AL (01003),98,"208,563",47
Barbour County, AL (01005),10,"25,965",Unreliable
Bibb County, AL (01007),26,"22,643",114.8
Blount County, AL (01009),54,"57,704",93.6
Bullock County, AL (01011),10,"10,362",Unreliable
Butler County, AL (01013),12,"19,998",Unreliable
Calhoun County, AL (01015),64,"114,611",55.8
Chambers County, AL (01017),31,"33,843",91.6
Cherokee County, AL (01019),24,"25,725",93.3
Chilton County, AL (01021),23,"43,941",52.3
Clarke County, AL (01025),13,"24,392",Unreliable
Cleburne County, AL (01029),14,"14,924",Unreliable
Coffee County, AL (01031),27,"51,226",52.7
Colbert County, AL (01033),18,"54,216",Unreliable
Coosa County, AL (01037),14,"10,581",Unreliable
Covington County, AL (01039),13,"37,458",Unreliable
Cullman County, AL (01043),55,"82,471",66.7
Dale County, AL (01045),34,"49,226",69.1
Dallas County, AL (01047),26,"40,008",65
DeKalb County, AL (01049),53,"70,900",74.8
Elmore County, AL (01051),49,"81,799",59.9
Escambia County, AL (01053),22,"37,728",58.3
Etowah County, AL (01055),81,"102,564",79
Franklin County, AL (01059),14,"31,628",Unreliable
Houston County, AL (01069),52,"104,056",50
Jackson County, AL (01071),35,"52,138",67.1
Jefferson County, AL (01073),447,"659,521",67.8
Lamar County, AL (01075),12,"13,918",Unreliable
Lauderdale County, AL (01077),50,"92,318",54.2
Lawrence County, AL (01079),25,"33,244",75.2
Lee County, AL (01081),59,"158,991",37.1
Limestone County, AL (01083),36,"92,753",38.8
Lowndes County, AL (01085),10,"10,358",Unreliable
Madison County, AL (01089),164,"356,967",45.9
Marengo County, AL (01091),16,"19,673",Unreliable
Marion County, AL (01093),21,"29,998",70
Marshall County, AL (01095),57,"95,157",59.9
Mobile County, AL (01097),183,"414,836",44.1
Monroe County, AL (01099),16,"21,530",Unreliable
Montgomery County, AL (01101),94,"226,349",41.5
Morgan County, AL (01103),59,"119,012",49.6
Pickens County, AL (01107),16,"20,324",Unreliable
Pike County, AL (01109),16,"33,286",Unreliable
Randolph County, AL (01111),13,"22,652",Unreliable
Russell County, AL (01113),33,"58,172",56.7
St. Clair County, AL (01115),66,"88,019",75
Shelby County, AL (01117),83,"210,622",39.4
Sumter County, AL (01119),11,"13,040",Unreliable
Talladega County, AL (01121),62,"80,103",77.4
Tallapoosa County, AL (01123),33,"40,727",81
Tuscaloosa County, AL (01125),95,"206,102",46.1
Walker County, AL (01127),53,"64,967",81.6
Washington County, AL (01129),21,"16,756",125.3
Winston County, AL (01133),15,"23,805",Unreliable
Anchorage Borough, AK (02020),150,"298,192",50.3
Bethel Census Area, AK (02050),16,"17,968",Unreliable
Fairbanks North Star Borough, AK (02090),52,"100,605",51.7
Juneau Borough, AK (02110),14,"32,468",Unreliable
Kenai Peninsula Borough, AK (02122),50,"58,506",85.5
Matanuska-Susitna Borough, AK (02170),54,"104,365",51.7
Prince of Wales-Hyder Census Area, AK (02198),10,"6,347",Unreliable
Valdez-Cordova Census Area, AK (02261),10,"9,355",Unreliable
Yukon-Koyukuk Census Area, AK (02290),14,"5,526",Unreliable
Apache County, AZ (04001),107,"73,112",146.4
Cochise County, AZ (04003),74,"125,770",58.8
Coconino County, AZ (04005),92,"140,908",65.3
Gila County, AZ (04007),57,"53,556",106.4
Graham County, AZ (04009),16,"37,599",Unreliable
La Paz County, AZ (04012),30,"20,317",147.7
Maricopa County, AZ (04013),"2,252","4,242,997",53.1
Mohave County, AZ (04015),161,"205,249",78.4
Navajo County, AZ (04017),107,"110,026",97.2
Pima County, AZ (04019),651,"1,016,206",64.1
Pinal County, AZ (04021),167,"418,540",39.9
Santa Cruz County, AZ (04023),21,"45,985",45.7
Yavapai County, AZ (04025),162,"225,562",71.8
Yuma County, AZ (04027),110,"205,631",53.5
Arkansas County, AR (05001),14,"18,214",Unreliable
Baxter County, AR (05005),28,"41,062",68.2
Benton County, AR (05007),111,"258,291",43
Boone County, AR (05009),16,"37,304",Unreliable
Carroll County, AR (05015),19,"27,646",Unreliable
Clark County, AR (05019),11,"22,657",Unreliable
Cleburne County, AR (05023),13,"25,264",Unreliable
Columbia County, AR (05027),12,"23,901",Unreliable
Conway County, AR (05029),15,"20,937",Unreliable
Craighead County, AR (05031),50,"105,835",47.2
Crawford County, AR (05033),23,"62,267",36.9
Crittenden County, AR (05035),26,"49,235",52.8
Faulkner County, AR (05045),49,"122,227",40.1
Franklin County, AR (05047),13,"17,626",Unreliable
Garland County, AR (05051),81,"97,477",83.1
Grant County, AR (05053),11,"18,082",Unreliable
Greene County, AR (05055),17,"44,598",Unreliable
Hot Spring County, AR (05059),23,"33,374",68.9
Independence County, AR (05063),18,"37,168",Unreliable
Izard County, AR (05065),10,"13,433",Unreliable
Jackson County, AR (05067),11,"17,221",Unreliable
Jefferson County, AR (05069),34,"70,016",48.6
Johnson County, AR (05071),13,"26,176",Unreliable
Lawrence County, AR (05075),19,"16,735",Unreliable
Little River County, AR (05081),11,"12,451",Unreliable
Lonoke County, AR (05085),57,"72,228",78.9
Madison County, AR (05087),15,"16,072",Unreliable
Marion County, AR (05089),11,"16,325",Unreliable
