,CauseName,State,Deaths,AADR,Population
0,All Causes,Alabama,51909.0,924.5,4888949
1,All Causes,Alaska,4316.0,747.4,738068
2,All Causes,Arizona,54299.0,671.8,7123898
3,All Causes,Arkansas,31617.0,901.8,3020327
4,All Causes,California,259206.0,621.6,39776830
5,All Causes,Colorado,36349.0,665.0,5684203
6,All Causes,Connecticut,30535.0,656.1,3588683
7,All Causes,Delaware,8582.0,741.5,971180
8,All Causes,District of Columbia,4871.0,748.6,703608
9,All Causes,Florida,191737.0,662.9,21312211
10,All Causes,Georgia,79942.0,808.1,10545138
11,All Causes,Hawaii,11053.0,588.2,1426393
12,All Causes,Idaho,13026.0,727.8,1753860
13,All Causes,Illinois,106872.0,728.3,12768320
14,All Causes,Indiana,62713.0,833.9,6699629
15,All Causes,Iowa,29600.0,724.6,3160553
16,All Causes,Kansas,26664.0,774.1,2918515
17,All Causes,Kentucky,46564.0,924.7,4472265
18,All Causes,Louisiana,43716.0,874.2,4682509
19,All Causes,Maine,14479.0,783.5,1341582
20,All Causes,Maryland,47247.0,705.7,6079602
21,All Causes,Massachusetts,57806.0,684.8,6895917
22,All Causes,Michigan,95140.0,784.4,9991177
23,All Causes,Minnesota,42800.0,653.8,5628162
24,All Causes,Mississippi,31783.0,963.7,2982785
25,All Causes,Missouri,59871.0,816.9,6135888
26,All Causes,Montana,9942.0,762.7,1062330
27,All Causes,Nebraska,16740.0,739.2,1932549
28,All Causes,Nevada,22879.0,757.2,3056824
29,All Causes,New Hampshire,11984.0,720.6,1350575
30,All Causes,New Jersey,72271.0,666.0,9032872
31,All Causes,New Mexico,17685.0,741.5,2090708
32,All Causes,New York,153628.0,644.0,19862512
33,All Causes,North Carolina,89133.0,789.9,10390149
34,All Causes,North Dakota,6223.0,696.8,755238
35,All Causes,Ohio,118188.0,828.4,11694664
36,All Causes,Oklahoma,39422.0,904.3,3940521
37,All Causes,Oregon,35705.0,722.3,4199563
38,All Causes,Pennsylvania,132598.0,768.3,12823989
39,All Causes,Rhode Island,10163.0,721.9,1061712
40,All Causes,South Carolina,47198.0,840.0,5088916
41,All Causes,South Dakota,7731.0,715.4,877790
42,All Causes,Tennessee,66570.0,886.4,6782564
43,All Causes,Texas,189654.0,745.0,28704330
44,All Causes,Utah,17334.0,712.1,3159345
45,All Causes,Vermont,5919.0,714.7,623960
46,All Causes,Virginia,65577.0,721.6,8525660
47,All Causes,Washington,54595.0,687.4,7530552
48,All Causes,West Virginia,22752.0,943.4,1803077
49,All Causes,Wisconsin,51264.0,715.9,5818049
50,All Causes,Wyoming,4778.0,748.3,573720
