County,StateCode,Deaths,Population,Category
Autauga County, AL (01001),30,"55,416",All Causes
Baldwin County, AL (01003),98,"208,563",All Causes
Barbour County, AL (01005),10,"25,965",All Causes
Bibb County, AL (01007),26,"22,643",All Causes
Blount County, AL (01009),54,"57,704",All Causes
Bullock County, AL (01011),10,"10,362",All Causes
Butler County, AL (01013),12,"19,998",All Causes
Calhoun County, AL (01015),64,"114,611",All Causes
Chambers County, AL (01017),31,"33,843",All Causes
Cherokee County, AL (01019),24,"25,725",All Causes
Chilton County, AL (01021),23,"43,941",All Causes
Clarke County, AL (01025),13,"24,392",All Causes
Cleburne County, AL (01029),14,"14,924",All Causes
Coffee County, AL (01031),27,"51,226",All Causes
Colbert County, AL (01033),18,"54,216",All Causes
Coosa County, AL (01037),14,"10,581",All Causes
Covington County, AL (01039),13,"37,458",All Causes
Cullman County, AL (01043),55,"82,471",All Causes
Dale County, AL (01045),34,"49,226",All Causes
Dallas County, AL (01047),26,"40,008",All Causes
DeKalb County, AL (01049),53,"70,900",All Causes
Elmore County, AL (01051),49,"81,799",All Causes
Escambia County, AL (01053),22,"37,728",All Causes
Etowah County, AL (01055),81,"102,564",All Causes
Franklin County, AL (01059),14,"31,628",All Causes
Houston County, AL (01069),52,"104,056",All Causes
Jackson County, AL (01071),35,"52,138",All Causes
Jefferson County, AL (01073),447,"659,521",All Causes
Lamar County, AL (01075),12,"13,918",All Causes
Lauderdale County, AL (01077),50,"92,318",All Causes
Lawrence County, AL (01079),25,"33,244",All Causes
Lee County, AL (01081),59,"158,991",All Causes
Limestone County, AL (01083),36,"92,753",All Causes
Lowndes County, AL (01085),10,"10,358",All Causes
Madison County, AL (01089),164,"356,967",All Causes
Marengo County, AL (01091),16,"19,673",All Causes
Marion County, AL (01093),21,"29,998",All Causes
Marshall County, AL (01095),57,"95,157",All Causes
Mobile County, AL (01097),183,"414,836",All Causes
Monroe County, AL (01099),16,"21,530",All Causes
Montgomery County, AL (01101),94,"226,349",All Causes
Morgan County, AL (01103),59,"119,012",All Causes
Pickens County, AL (01107),16,"20,324",All Causes
Pike County, AL (01109),16,"33,286",All Causes
Randolph County, AL (01111),13,"22,652",All Causes
Russell County, AL (01113),33,"58,172",All Causes
St. Clair County, AL (01115),66,"88,019",All Causes
Shelby County, AL (01117),83,"210,622",All Causes
Sumter County, AL (01119),11,"13,040",All Causes
Talladega County, AL (01121),62,"80,103",All Causes
Tallapoosa County, AL (01123),33,"40,727",All Causes
Tuscaloosa County, AL (01125),95,"206,102",All Causes
Walker County, AL (01127),53,"64,967",All Causes
Washington County, AL (01129),21,"16,756",All Causes
Winston County, AL (01133),15,"23,805",All Causes
Anchorage Borough, AK (02020),150,"298,192",All Causes
Bethel Census Area, AK (02050),16,"17,968",All Causes
Fairbanks North Star Borough, AK (02090),52,"100,605",All Causes
Juneau Borough, AK (02110),14,"32,468",All Causes
Kenai Peninsula Borough, AK (02122),50,"58,506",All Causes
Matanuska-Susitna Borough, AK (02170),54,"104,365",All Causes
Prince of Wales-Hyder Census Area, AK (02198),10,"6,347",All Causes
Valdez-Cordova Census Area, AK (02261),10,"9,355",All Causes
Yukon-Koyukuk Census Area, AK (02290),14,"5,526",All Causes
Apache County, AZ (04001),107,"73,112",All Causes
Cochise County, AZ (04003),74,"125,770",All Causes
Coconino County, AZ (04005),92,"140,908",All Causes
Gila County, AZ (04007),57,"53,556",All Causes
Graham County, AZ (04009),16,"37,599",All Causes
La Paz County, AZ (04012),30,"20,317",All Causes
Maricopa County, AZ (04013),"2,252","4,242,997",All Causes
Mohave County, AZ (04015),161,"205,249",All Causes
Navajo County, AZ (04017),107,"110,026",All Causes
Pima County, AZ (04019),651,"1,016,206",All Causes
Pinal County, AZ (04021),167,"418,540",All Causes
Santa Cruz County, AZ (04023),21,"45,985",All Causes
Yavapai County, AZ (04025),162,"225,562",All Causes
Yuma County, AZ (04027),110,"205,631",All Causes
Arkansas County, AR (05001),14,"18,214",All Causes
Baxter County, AR (05005),28,"41,062",All Causes
Benton County, AR (05007),111,"258,291",All Causes
Boone County, AR (05009),16,"37,304",All Causes
Carroll County, AR (05015),19,"27,646",All Causes
Clark County, AR (05019),11,"22,657",All Causes
Cleburne County, AR (05023),13,"25,264",All Causes
Columbia County, AR (05027),12,"23,901",All Causes
Conway County, AR (05029),15,"20,937",All Causes
Craighead County, AR (05031),50,"105,835",All Causes
Crawford County, AR (05033),23,"62,267",All Causes
Crittenden County, AR (05035),26,"49,235",All Causes
Faulkner County, AR (05045),49,"122,227",All Causes
Franklin County, AR (05047),13,"17,626",All Causes
Garland County, AR (05051),81,"97,477",All Causes
Grant County, AR (05053),11,"18,082",All Causes
Greene County, AR (05055),17,"44,598",All Causes
Hot Spring County, AR (05059),23,"33,374",All Causes
Independence County, AR (05063),18,"37,168",All Causes
Izard County, AR (05065),10,"13,433",All Causes
Jackson County, AR (05067),11,"17,221",All Causes
Jefferson County, AR (05069),34,"70,016",All Causes
Johnson County, AR (05071),13,"26,176",All Causes
Lawrence County, AR (05075),19,"16,735",All Causes
Little River County, AR (05081),11,"12,451",All Causes
Lonoke County, AR (05085),57,"72,228",All Causes
Madison County, AR (05087),15,"16,072",All Causes
Marion County, AR (05089),11,"16,325",All Causes
Miller County, AR (05091),23,"43,787",All Causes
Mississippi County, AR (05093),43,"42,835",All Causes
Monroe County, AR (05095),10,"7,169",All Causes
Nevada County, AR (05099),10,"8,398",All Causes
Ouachita County, AR (05103),13,"24,098",All Causes
Phillips County, AR (05107),14,"18,975",All Causes
Poinsett County, AR (05111),25,"24,023",All Causes
Polk County, AR (05113),18,"20,173",All Causes
Pope County, AR (05115),33,"63,779",All Causes
Pulaski County, AR (05119),192,"393,250",All Causes
Randolph County, AR (05121),16,"17,448",All Causes
St. Francis County, AR (05123),12,"26,196",All Causes
Saline County, AR (05125),52,"118,703",All Causes
Scott County, AR (05127),11,"10,277",All Causes
Searcy County, AR (05129),13,"7,967",All Causes
Sebastian County, AR (05131),61,"127,793",All Causes
Sharp County, AR (05135),19,"17,157",All Causes
Stone County, AR (05137),10,"12,539",All Causes
Union County, AR (05139),19,"39,887",All Causes
Washington County, AR (05143),74,"228,049",All Causes
White County, AR (05145),49,"79,263",All Causes
Yell County, AR (05149),12,"21,552",All Causes
Alameda County, CA (06001),419,"1,647,704",All Causes
Amador County, CA (06005),27,"37,383",All Causes
Butte County, CA (06007),169,"226,864",All Causes
Calaveras County, CA (06009),31,"45,171",All Causes
Colusa County, CA (06011),12,"21,588",All Causes
Contra Costa County, CA (06013),359,"1,135,127",All Causes
Del Norte County, CA (06015),27,"27,540",All Causes
El Dorado County, CA (06017),78,"185,625",All Causes
Fresno County, CA (06019),458,"979,915",All Causes
Glenn County, CA (06021),19,"28,085",All Causes
Humboldt County, CA (06023),101,"136,646",All Causes
Imperial County, CA (06025),81,"180,883",All Causes
Inyo County, CA (06027),14,"18,144",All Causes
Kern County, CA (06029),481,"884,788",All Causes
Kings County, CA (06031),50,"149,785",All Causes
Lake County, CA (06033),59,"64,116",All Causes
Lassen County, CA (06035),23,"30,870",All Causes
Los Angeles County, CA (06037),"2,612","10,137,915",All Causes
Madera County, CA (06039),75,"154,697",All Causes
Marin County, CA (06041),105,"260,651",All Causes
Mariposa County, CA (06043),18,"17,410",All Causes
Mendocino County, CA (06045),65,"87,628",All Causes
Merced County, CA (06047),152,"268,672",All Causes
Monterey County, CA (06053),150,"435,232",All Causes
Napa County, CA (06055),57,"142,166",All Causes
Nevada County, CA (06057),55,"99,107",All Causes
Orange County, CA (06059),886,"3,172,532",All Causes
Placer County, CA (06061),167,"380,531",All Causes
Plumas County, CA (06063),13,"18,627",All Causes
Riverside County, CA (06065),905,"2,387,741",All Causes
Sacramento County, CA (06067),582,"1,514,460",All Causes
San Benito County, CA (06069),23,"59,414",All Causes
San Bernardino County, CA (06071),579,"2,140,096",All Causes
San Diego County, CA (06073),"1,107","3,317,749",All Causes
San Francisco County, CA (06075),360,"870,887",All Causes
San Joaquin County, CA (06077),345,"733,709",All Causes
San Luis Obispo County, CA (06079),105,"282,887",All Causes
San Mateo County, CA (06081),190,"764,797",All Causes
Santa Barbara County, CA (06083),171,"446,170",All Causes
Santa Clara County, CA (06085),510,"1,919,402",All Causes
Santa Cruz County, CA (06087),123,"274,673",All Causes
Shasta County, CA (06089),113,"179,631",All Causes
Siskiyou County, CA (06093),39,"43,603",All Causes
Solano County, CA (06095),146,"440,207",All Causes
Sonoma County, CA (06097),189,"503,070",All Causes
Stanislaus County, CA (06099),242,"541,560",All Causes
Sutter County, CA (06101),34,"96,651",All Causes
Tehama County, CA (06103),42,"63,276",All Causes
Trinity County, CA (06105),16,"12,782",All Causes
Tulare County, CA (06107),167,"460,437",All Causes
Tuolumne County, CA (06109),37,"53,804",All Causes
Ventura County, CA (06111),297,"849,738",All Causes
Yolo County, CA (06113),81,"215,802",All Causes
Yuba County, CA (06115),36,"75,275",All Causes
Adams County, CO (08001),265,"498,187",All Causes
Alamosa County, CO (08003),11,"16,654",All Causes
Arapahoe County, CO (08005),273,"637,068",All Causes
Boulder County, CO (08013),166,"322,226",All Causes
Broomfield County, CO (08014),26,"66,529",All Causes
Chaffee County, CO (08015),16,"19,058",All Causes
Delta County, CO (08029),20,"30,442",All Causes
Denver County, CO (08031),346,"693,060",All Causes
Douglas County, CO (08035),120,"328,632",All Causes
Eagle County, CO (08037),11,"53,989",All Causes
Elbert County, CO (08039),12,"25,231",All Causes
El Paso County, CO (08041),384,"688,284",All Causes
Fremont County, CO (08043),41,"47,446",All Causes
Garfield County, CO (08045),38,"58,887",All Causes
Huerfano County, CO (08055),10,"6,677",All Causes
Jefferson County, CO (08059),310,"571,837",All Causes
La Plata County, CO (08067),34,"55,623",All Causes
Larimer County, CO (08069),149,"339,993",All Causes
Las Animas County, CO (08071),20,"14,103",All Causes
Logan County, CO (08075),21,"21,919",All Causes
Mesa County, CO (08077),101,"150,083",All Causes
Moffat County, CO (08081),15,"13,109",All Causes
Montezuma County, CO (08083),24,"26,999",All Causes
Montrose County, CO (08085),42,"41,471",All Causes
Morgan County, CO (08087),17,"28,274",All Causes
Otero County, CO (08089),13,"18,295",All Causes
Park County, CO (08093),17,"17,166",All Causes
Pueblo County, CO (08101),99,"165,123",All Causes
Rio Grande County, CO (08105),16,"11,479",All Causes
Routt County, CO (08107),14,"24,648",All Causes
Teller County, CO (08119),10,"24,043",All Causes
Weld County, CO (08123),130,"294,932",All Causes
Fairfield County, CT (09001),425,"944,177",All Causes
Hartford County, CT (09003),502,"892,389",All Causes
Litchfield County, CT (09005),107,"182,571",All Causes
Middlesex County, CT (09007),105,"163,329",All Causes
New Haven County, CT (09009),523,"856,875",All Causes
New London County, CT (09011),169,"269,801",All Causes
Tolland County, CT (09013),76,"151,118",All Causes
Windham County, CT (09015),71,"116,192",All Causes
Kent County, DE (10001),97,"174,827",All Causes
