County,State (Code),Deaths,Population,Crude Rate Per 100000
Autauga County, AL (01001),37,"55,416",66.8
Baldwin County, AL (01003),119,"208,563",57.1
Barbour County, AL (01005),11,"25,965",Unreliable
Bibb County, AL (01007),13,"22,643",Unreliable
Blount County, AL (01009),63,"57,704",109.2
Butler County, AL (01013),17,"19,998",Unreliable
Calhoun County, AL (01015),109,"114,611",95.1
Chambers County, AL (01017),32,"33,843",94.6
Cherokee County, AL (01019),20,"25,725",77.7
Chilton County, AL (01021),31,"43,941",70.5
Clarke County, AL (01025),20,"24,392",82
Clay County, AL (01027),12,"13,492",Unreliable
Cleburne County, AL (01029),19,"14,924",Unreliable
Coffee County, AL (01031),34,"51,226",66.4
Colbert County, AL (01033),56,"54,216",103.3
Conecuh County, AL (01035),11,"12,395",Unreliable
Coosa County, AL (01037),12,"10,581",Unreliable
Covington County, AL (01039),48,"37,458",128.1
Crenshaw County, AL (01041),21,"13,913",150.9
Cullman County, AL (01043),83,"82,471",100.6
Dale County, AL (01045),39,"49,226",79.2
Dallas County, AL (01047),22,"40,008",55
DeKalb County, AL (01049),71,"70,900",100.1
Elmore County, AL (01051),46,"81,799",56.2
Escambia County, AL (01053),24,"37,728",63.6
Etowah County, AL (01055),121,"102,564",118
Fayette County, AL (01057),19,"16,546",Unreliable
Franklin County, AL (01059),39,"31,628",123.3
Geneva County, AL (01061),29,"26,614",109
Houston County, AL (01069),49,"104,056",47.1
Jackson County, AL (01071),70,"52,138",134.3
Jefferson County, AL (01073),297,"659,521",45
Lamar County, AL (01075),17,"13,918",Unreliable
Lauderdale County, AL (01077),70,"92,318",75.8
Lawrence County, AL (01079),24,"33,244",72.2
Lee County, AL (01081),70,"158,991",44
Limestone County, AL (01083),54,"92,753",58.2
Madison County, AL (01089),181,"356,967",50.7
Marengo County, AL (01091),14,"19,673",Unreliable
Marion County, AL (01093),22,"29,998",73.3
Marshall County, AL (01095),94,"95,157",98.8
Mobile County, AL (01097),255,"414,836",61.5
Monroe County, AL (01099),17,"21,530",Unreliable
Montgomery County, AL (01101),105,"226,349",46.4
Morgan County, AL (01103),109,"119,012",91.6
Perry County, AL (01105),15,"9,574",Unreliable
Pickens County, AL (01107),21,"20,324",103.3
Pike County, AL (01109),15,"33,286",Unreliable
Randolph County, AL (01111),27,"22,652",119.2
Russell County, AL (01113),50,"58,172",86
St. Clair County, AL (01115),75,"88,019",85.2
Shelby County, AL (01117),75,"210,622",35.6
Talladega County, AL (01121),79,"80,103",98.6
Tallapoosa County, AL (01123),45,"40,727",110.5
Tuscaloosa County, AL (01125),124,"206,102",60.2
Walker County, AL (01127),66,"64,967",101.6
Washington County, AL (01129),18,"16,756",Unreliable
Winston County, AL (01133),37,"23,805",155.4
Anchorage Borough, AK (02020),74,"298,192",24.8
Fairbanks North Star Borough, AK (02090),30,"100,605",29.8
Juneau Borough, AK (02110),10,"32,468",Unreliable
Kenai Peninsula Borough, AK (02122),27,"58,506",46.1
Matanuska-Susitna Borough, AK (02170),39,"104,365",37.4
Apache County, AZ (04001),23,"73,112",31.5
Cochise County, AZ (04003),99,"125,770",78.7
Coconino County, AZ (04005),46,"140,908",32.6
Gila County, AZ (04007),65,"53,556",121.4
Graham County, AZ (04009),17,"37,599",Unreliable
La Paz County, AZ (04012),17,"20,317",Unreliable
Maricopa County, AZ (04013),"2,081","4,242,997",49
Mohave County, AZ (04015),225,"205,249",109.6
Navajo County, AZ (04017),59,"110,026",53.6
Pima County, AZ (04019),561,"1,016,206",55.2
Pinal County, AZ (04021),244,"418,540",58.3
Santa Cruz County, AZ (04023),13,"45,985",Unreliable
Yavapai County, AZ (04025),268,"225,562",118.8
Yuma County, AZ (04027),77,"205,631",37.4
Arkansas County, AR (05001),10,"18,214",Unreliable
Ashley County, AR (05003),14,"20,492",Unreliable
Baxter County, AR (05005),60,"41,062",146.1
Benton County, AR (05007),162,"258,291",62.7
Boone County, AR (05009),31,"37,304",83.1
Carroll County, AR (05015),19,"27,646",Unreliable
Clark County, AR (05019),11,"22,657",Unreliable
Clay County, AR (05021),24,"14,920",160.9
Cleburne County, AR (05023),42,"25,264",166.2
Columbia County, AR (05027),14,"23,901",Unreliable
Conway County, AR (05029),19,"20,937",Unreliable
Craighead County, AR (05031),63,"105,835",59.5
Crawford County, AR (05033),50,"62,267",80.3
Crittenden County, AR (05035),39,"49,235",79.2
Cross County, AR (05037),20,"17,037",117.4
Drew County, AR (05043),15,"18,651",Unreliable
Faulkner County, AR (05045),67,"122,227",54.8
Franklin County, AR (05047),23,"17,626",130.5
Fulton County, AR (05049),12,"12,123",Unreliable
Garland County, AR (05051),107,"97,477",109.8
Grant County, AR (05053),23,"18,082",127.2
Greene County, AR (05055),43,"44,598",96.4
Hempstead County, AR (05057),12,"21,974",Unreliable
Hot Spring County, AR (05059),43,"33,374",128.8
Independence County, AR (05063),42,"37,168",113
Izard County, AR (05065),15,"13,433",Unreliable
Jackson County, AR (05067),32,"17,221",185.8
Jefferson County, AR (05069),28,"70,016",40
