County,State (Code),Deaths,Population,Crude Rate Per 100000
Autauga County, AL (01001),106,"55,416",191.3
Baldwin County, AL (01003),461,"208,563",221
Barbour County, AL (01005),59,"25,965",227.2
Bibb County, AL (01007),55,"22,643",242.9
Blount County, AL (01009),155,"57,704",268.6
Bullock County, AL (01011),37,"10,362",357.1
Butler County, AL (01013),49,"19,998",245
Calhoun County, AL (01015),271,"114,611",236.5
Chambers County, AL (01017),94,"33,843",277.8
Cherokee County, AL (01019),79,"25,725",307.1
Chilton County, AL (01021),87,"43,941",198
Choctaw County, AL (01023),24,"12,993",184.7
Clarke County, AL (01025),54,"24,392",221.4
Clay County, AL (01027),36,"13,492",266.8
Cleburne County, AL (01029),36,"14,924",241.2
Coffee County, AL (01031),94,"51,226",183.5
Colbert County, AL (01033),139,"54,216",256.4
Conecuh County, AL (01035),33,"12,395",266.2
Coosa County, AL (01037),32,"10,581",302.4
Covington County, AL (01039),89,"37,458",237.6
Crenshaw County, AL (01041),44,"13,913",316.3
Cullman County, AL (01043),172,"82,471",208.6
Dale County, AL (01045),107,"49,226",217.4
Dallas County, AL (01047),116,"40,008",289.9
DeKalb County, AL (01049),133,"70,900",187.6
Elmore County, AL (01051),168,"81,799",205.4
Escambia County, AL (01053),94,"37,728",249.2
Etowah County, AL (01055),238,"102,564",232.1
Fayette County, AL (01057),61,"16,546",368.7
Franklin County, AL (01059),68,"31,628",215
Geneva County, AL (01061),76,"26,614",285.6
Greene County, AL (01063),18,"8,422",Unreliable
Hale County, AL (01065),40,"14,952",267.5
Henry County, AL (01067),40,"17,164",233
Houston County, AL (01069),220,"104,056",211.4
Jackson County, AL (01071),150,"52,138",287.7
Jefferson County, AL (01073),"1,413","659,521",214.2
Lamar County, AL (01075),43,"13,918",309
Lauderdale County, AL (01077),217,"92,318",235.1
Lawrence County, AL (01079),75,"33,244",225.6
Lee County, AL (01081),217,"158,991",136.5
Limestone County, AL (01083),182,"92,753",196.2
Lowndes County, AL (01085),36,"10,358",347.6
Macon County, AL (01087),58,"18,963",305.9
Madison County, AL (01089),672,"356,967",188.3
Marengo County, AL (01091),53,"19,673",269.4
Marion County, AL (01093),68,"29,998",226.7
Marshall County, AL (01095),227,"95,157",238.6
Mobile County, AL (01097),867,"414,836",209
Monroe County, AL (01099),41,"21,530",190.4
Montgomery County, AL (01101),405,"226,349",178.9
Morgan County, AL (01103),259,"119,012",217.6
Perry County, AL (01105),21,"9,574",219.3
Pickens County, AL (01107),46,"20,324",226.3
Pike County, AL (01109),77,"33,286",231.3
Randolph County, AL (01111),55,"22,652",242.8
Russell County, AL (01113),126,"58,172",216.6
St. Clair County, AL (01115),194,"88,019",220.4
Shelby County, AL (01117),323,"210,622",153.4
Sumter County, AL (01119),35,"13,040",268.4
Talladega County, AL (01121),206,"80,103",257.2
Tallapoosa County, AL (01123),133,"40,727",326.6
Tuscaloosa County, AL (01125),323,"206,102",156.7
Walker County, AL (01127),189,"64,967",290.9
Washington County, AL (01129),38,"16,756",226.8
Wilcox County, AL (01131),25,"10,986",227.6
Winston County, AL (01133),60,"23,805",252
Anchorage Borough, AK (02020),366,"298,192",122.7
Bethel Census Area, AK (02050),24,"17,968",133.6
Fairbanks North Star Borough, AK (02090),120,"100,605",119.3
Juneau Borough, AK (02110),48,"32,468",147.8
Kenai Peninsula Borough, AK (02122),114,"58,506",194.9
Ketchikan Gateway Borough, AK (02130),18,"13,746",Unreliable
Kodiak Island Borough, AK (02150),15,"13,732",Unreliable
Matanuska-Susitna Borough, AK (02170),148,"104,365",141.8
Nome Census Area, AK (02180),21,"9,917",211.8
North Slope Borough, AK (02185),15,"9,606",Unreliable
Prince of Wales-Hyder Census Area, AK (02198),15,"6,347",Unreliable
Valdez-Cordova Census Area, AK (02261),14,"9,355",Unreliable
Yukon-Koyukuk Census Area, AK (02290),15,"5,526",Unreliable
Apache County, AZ (04001),87,"73,112",119
Cochise County, AZ (04003),311,"125,770",247.3
Coconino County, AZ (04005),165,"140,908",117.1
Gila County, AZ (04007),153,"53,556",285.7
Graham County, AZ (04009),57,"37,599",151.6
La Paz County, AZ (04012),60,"20,317",295.3
Maricopa County, AZ (04013),"6,497","4,242,997",153.1
Mohave County, AZ (04015),758,"205,249",369.3
Navajo County, AZ (04017),179,"110,026",162.7
Pima County, AZ (04019),"1,893","1,016,206",186.3
Pinal County, AZ (04021),695,"418,540",166.1
Santa Cruz County, AZ (04023),58,"45,985",126.1
Yavapai County, AZ (04025),659,"225,562",292.2
Yuma County, AZ (04027),296,"205,631",143.9
Arkansas County, AR (05001),47,"18,214",258
Ashley County, AR (05003),72,"20,492",351.4
Baxter County, AR (05005),156,"41,062",379.9
Benton County, AR (05007),395,"258,291",152.9
Boone County, AR (05009),93,"37,304",249.3
Bradley County, AR (05011),31,"10,996",281.9
Calhoun County, AR (05013),26,"5,144",505.4
Carroll County, AR (05015),71,"27,646",256.8
Chicot County, AR (05017),32,"10,945",292.4
Clark County, AR (05019),52,"22,657",229.5
Clay County, AR (05021),60,"14,920",402.1
Cleburne County, AR (05023),92,"25,264",364.2
Cleveland County, AR (05025),28,"8,241",339.8
Columbia County, AR (05027),68,"23,901",284.5
Conway County, AR (05029),56,"20,937",267.5
Craighead County, AR (05031),194,"105,835",183.3
Crawford County, AR (05033),147,"62,267",236.1
Crittenden County, AR (05035),118,"49,235",239.7
Cross County, AR (05037),48,"17,037",281.7
Dallas County, AR (05039),27,"7,469",361.5
Desha County, AR (05041),26,"11,876",218.9
Drew County, AR (05043),48,"18,651",257.4
Faulkner County, AR (05045),183,"122,227",149.7
Franklin County, AR (05047),60,"17,626",340.4
Fulton County, AR (05049),37,"12,123",305.2
Garland County, AR (05051),248,"97,477",254.4
Grant County, AR (05053),50,"18,082",276.5
Greene County, AR (05055),108,"44,598",242.2
Hempstead County, AR (05057),37,"21,974",168.4
Hot Spring County, AR (05059),79,"33,374",236.7
Howard County, AR (05061),38,"13,377",284.1
Independence County, AR (05063),74,"37,168",199.1
Izard County, AR (05065),30,"13,433",223.3
Jackson County, AR (05067),46,"17,221",267.1
Jefferson County, AR (05069),189,"70,016",269.9
Johnson County, AR (05071),58,"26,176",221.6
Lafayette County, AR (05073),16,"6,847",Unreliable
Lawrence County, AR (05075),63,"16,735",376.5
Lee County, AR (05077),27,"9,310",290
Lincoln County, AR (05079),39,"13,705",284.6
Little River County, AR (05081),33,"12,451",265
Logan County, AR (05083),55,"21,792",252.4
Lonoke County, AR (05085),135,"72,228",186.9
Madison County, AR (05087),35,"16,072",217.8
Marion County, AR (05089),45,"16,325",275.7
Miller County, AR (05091),110,"43,787",251.2
Mississippi County, AR (05093),110,"42,835",256.8
Monroe County, AR (05095),38,"7,169",530.1
Montgomery County, AR (05097),30,"8,879",337.9
Nevada County, AR (05099),29,"8,398",345.3
Newton County, AR (05101),18,"7,936",Unreliable
Ouachita County, AR (05103),81,"24,098",336.1
Perry County, AR (05105),24,"10,132",236.9
Phillips County, AR (05107),56,"18,975",295.1
Pike County, AR (05109),24,"10,832",221.6
Poinsett County, AR (05111),71,"24,023",295.6
Polk County, AR (05113),54,"20,173",267.7
Pope County, AR (05115),123,"63,779",192.9
Prairie County, AR (05117),20,"8,251",242.4
Pulaski County, AR (05119),723,"393,250",183.9
Randolph County, AR (05121),41,"17,448",235
St. Francis County, AR (05123),53,"26,196",202.3
Saline County, AR (05125),245,"118,703",206.4
Scott County, AR (05127),39,"10,277",379.5
Searcy County, AR (05129),25,"7,967",313.8
Sebastian County, AR (05131),250,"127,793",195.6
Sevier County, AR (05133),32,"16,910",189.2
Sharp County, AR (05135),69,"17,157",402.2
Stone County, AR (05137),42,"12,539",335
Union County, AR (05139),125,"39,887",313.4
Van Buren County, AR (05141),44,"16,628",264.6
Washington County, AR (05143),329,"228,049",144.3
White County, AR (05145),158,"79,263",199.3
Woodruff County, AR (05147),28,"6,641",421.6
Yell County, AR (05149),49,"21,552",227.4
Alameda County, CA (06001),"2,367","1,647,704",143.7
Amador County, CA (06005),125,"37,383",334.4
Butte County, CA (06007),505,"226,864",222.6
Calaveras County, CA (06009),131,"45,171",290
Colusa County, CA (06011),35,"21,588",162.1
Contra Costa County, CA (06013),"1,834","1,135,127",161.6
Del Norte County, CA (06015),58,"27,540",210.6
El Dorado County, CA (06017),370,"185,625",199.3
Fresno County, CA (06019),"1,298","979,915",132.5
Glenn County, CA (06021),44,"28,085",156.7
Humboldt County, CA (06023),300,"136,646",219.5
Imperial County, CA (06025),232,"180,883",128.3
Inyo County, CA (06027),56,"18,144",308.6
Kern County, CA (06029),"1,178","884,788",133.1
Kings County, CA (06031),172,"149,785",114.8
Lake County, CA (06033),198,"64,116",308.8
Lassen County, CA (06035),45,"30,870",145.8
Los Angeles County, CA (06037),"14,536","10,137,915",143.4
Madera County, CA (06039),232,"154,697",150
Marin County, CA (06041),456,"260,651",174.9
Mariposa County, CA (06043),53,"17,410",304.4
Mendocino County, CA (06045),194,"87,628",221.4
Merced County, CA (06047),396,"268,672",147.4
Modoc County, CA (06049),22,"8,795",250.1
Monterey County, CA (06053),557,"435,232",128
Napa County, CA (06055),294,"142,166",206.8
Nevada County, CA (06057),223,"99,107",225
Orange County, CA (06059),"4,625","3,172,532",145.8
Placer County, CA (06061),763,"380,531",200.5
Plumas County, CA (06063),57,"18,627",306
Riverside County, CA (06065),"3,632","2,387,741",152.1
Sacramento County, CA (06067),"2,481","1,514,460",163.8
San Benito County, CA (06069),64,"59,414",107.7
San Bernardino County, CA (06071),"2,951","2,140,096",137.9
San Diego County, CA (06073),"5,129","3,317,749",154.6
San Francisco County, CA (06075),"1,405","870,887",161.3
San Joaquin County, CA (06077),"1,113","733,709",151.7
San Luis Obispo County, CA (06079),554,"282,887",195.8
San Mateo County, CA (06081),"1,138","764,797",148.8
Santa Barbara County, CA (06083),682,"446,170",152.9
Santa Clara County, CA (06085),"2,423","1,919,402",126.2
Santa Cruz County, CA (06087),385,"274,673",140.2
Shasta County, CA (06089),482,"179,631",268.3
Siskiyou County, CA (06093),123,"43,603",282.1
Solano County, CA (06095),838,"440,207",190.4
Sonoma County, CA (06097),"1,015","503,070",201.8
Stanislaus County, CA (06099),918,"541,560",169.5
Sutter County, CA (06101),191,"96,651",197.6
Tehama County, CA (06103),128,"63,276",202.3
Trinity County, CA (06105),32,"12,782",250.4
Tulare County, CA (06107),537,"460,437",116.6
Tuolumne County, CA (06109),136,"53,804",252.8
Ventura County, CA (06111),"1,357","849,738",159.7
Yolo County, CA (06113),277,"215,802",128.4
Yuba County, CA (06115),153,"75,275",203.3
