County,State (Code),Deaths,Population,Crude Rate Per 100000
Autauga County, AL (01001),19,"55,416",Unreliable
Baldwin County, AL (01003),19,"208,563",Unreliable
Butler County, AL (01013),14,"19,998",Unreliable
Calhoun County, AL (01015),15,"114,611",Unreliable
Chambers County, AL (01017),21,"33,843",62.1
Clarke County, AL (01025),12,"24,392",Unreliable
Colbert County, AL (01033),10,"54,216",Unreliable
Covington County, AL (01039),11,"37,458",Unreliable
Cullman County, AL (01043),33,"82,471",40
Dale County, AL (01045),16,"49,226",Unreliable
DeKalb County, AL (01049),30,"70,900",42.3
Elmore County, AL (01051),17,"81,799",Unreliable
Escambia County, AL (01053),28,"37,728",74.2
Etowah County, AL (01055),32,"102,564",31.2
Geneva County, AL (01061),15,"26,614",Unreliable
Houston County, AL (01069),15,"104,056",Unreliable
Jackson County, AL (01071),13,"52,138",Unreliable
Jefferson County, AL (01073),151,"659,521",22.9
Lauderdale County, AL (01077),12,"92,318",Unreliable
Lee County, AL (01081),53,"158,991",33.3
Madison County, AL (01089),69,"356,967",19.3
Marshall County, AL (01095),14,"95,157",Unreliable
Mobile County, AL (01097),106,"414,836",25.6
Montgomery County, AL (01101),92,"226,349",40.6
Morgan County, AL (01103),20,"119,012",16.8
Pike County, AL (01109),13,"33,286",Unreliable
Russell County, AL (01113),34,"58,172",58.4
St. Clair County, AL (01115),14,"88,019",Unreliable
Shelby County, AL (01117),25,"210,622",11.9
Talladega County, AL (01121),32,"80,103",39.9
Tallapoosa County, AL (01123),16,"40,727",Unreliable
Tuscaloosa County, AL (01125),35,"206,102",17
Walker County, AL (01127),13,"64,967",Unreliable
Winston County, AL (01133),12,"23,805",Unreliable
Anchorage Borough, AK (02020),48,"298,192",16.1
Fairbanks North Star Borough, AK (02090),14,"100,605",Unreliable
Kenai Peninsula Borough, AK (02122),16,"58,506",Unreliable
Matanuska-Susitna Borough, AK (02170),22,"104,365",21.1
Apache County, AZ (04001),38,"73,112",52
Cochise County, AZ (04003),35,"125,770",27.8
Coconino County, AZ (04005),25,"140,908",17.7
Gila County, AZ (04007),29,"53,556",54.1
Graham County, AZ (04009),14,"37,599",Unreliable
