County,State (Code),Deaths,Population,Crude Rate Per 100000
Autauga County, AL (01001),118,"55,416",212.9
Baldwin County, AL (01003),492,"208,563",235.9
Barbour County, AL (01005),67,"25,965",258
Bibb County, AL (01007),63,"22,643",278.2
Blount County, AL (01009),154,"57,704",266.9
Bullock County, AL (01011),31,"10,362",299.2
Butler County, AL (01013),70,"19,998",350
Calhoun County, AL (01015),454,"114,611",396.1
Chambers County, AL (01017),100,"33,843",295.5
Cherokee County, AL (01019),91,"25,725",353.7
Chilton County, AL (01021),153,"43,941",348.2
Choctaw County, AL (01023),57,"12,993",438.7
Clarke County, AL (01025),92,"24,392",377.2
Clay County, AL (01027),59,"13,492",437.3
Cleburne County, AL (01029),63,"14,924",422.1
Coffee County, AL (01031),131,"51,226",255.7
Colbert County, AL (01033),161,"54,216",297
Conecuh County, AL (01035),40,"12,395",322.7
Coosa County, AL (01037),41,"10,581",387.5
Covington County, AL (01039),131,"37,458",349.7
Crenshaw County, AL (01041),38,"13,913",273.1
Cullman County, AL (01043),245,"82,471",297.1
Dale County, AL (01045),136,"49,226",276.3
Dallas County, AL (01047),164,"40,008",409.9
DeKalb County, AL (01049),211,"70,900",297.6
Elmore County, AL (01051),171,"81,799",209
Escambia County, AL (01053),112,"37,728",296.9
Etowah County, AL (01055),382,"102,564",372.5
Fayette County, AL (01057),60,"16,546",362.6
Franklin County, AL (01059),83,"31,628",262.4
Geneva County, AL (01061),101,"26,614",379.5
Greene County, AL (01063),31,"8,422",368.1
Hale County, AL (01065),57,"14,952",381.2
Henry County, AL (01067),56,"17,164",326.3
Houston County, AL (01069),258,"104,056",247.9
Jackson County, AL (01071),200,"52,138",383.6
Jefferson County, AL (01073),"1,397","659,521",211.8
Lamar County, AL (01075),55,"13,918",395.2
Lauderdale County, AL (01077),291,"92,318",315.2
Lawrence County, AL (01079),111,"33,244",333.9
Lee County, AL (01081),222,"158,991",139.6
Limestone County, AL (01083),207,"92,753",223.2
Lowndes County, AL (01085),30,"10,358",289.6
Macon County, AL (01087),79,"18,963",416.6
Madison County, AL (01089),737,"356,967",206.5
Marengo County, AL (01091),91,"19,673",462.6
Marion County, AL (01093),129,"29,998",430
Marshall County, AL (01095),298,"95,157",313.2
Mobile County, AL (01097),"1,125","414,836",271.2
Monroe County, AL (01099),49,"21,530",227.6
Montgomery County, AL (01101),436,"226,349",192.6
Morgan County, AL (01103),349,"119,012",293.2
Perry County, AL (01105),30,"9,574",313.3
Pickens County, AL (01107),65,"20,324",319.8
Pike County, AL (01109),73,"33,286",219.3
Randolph County, AL (01111),99,"22,652",437
Russell County, AL (01113),140,"58,172",240.7
St. Clair County, AL (01115),229,"88,019",260.2
Shelby County, AL (01117),358,"210,622",170
Sumter County, AL (01119),27,"13,040",207.1
Talladega County, AL (01121),252,"80,103",314.6
Tallapoosa County, AL (01123),144,"40,727",353.6
Tuscaloosa County, AL (01125),461,"206,102",223.7
Walker County, AL (01127),319,"64,967",491
Washington County, AL (01129),48,"16,756",286.5
Wilcox County, AL (01131),34,"10,986",309.5
Winston County, AL (01133),74,"23,805",310.9
Anchorage Borough, AK (02020),298,"298,192",99.9
Bethel Census Area, AK (02050),16,"17,968",Unreliable
Dillingham Census Area, AK (02070),10,"4,954",Unreliable
Fairbanks North Star Borough, AK (02090),85,"100,605",84.5
Juneau Borough, AK (02110),49,"32,468",150.9
