County,State (Code),Deaths,Population,Crude Rate Per 100000
Baldwin County, AL (01003),27,"208,563",12.9
Blount County, AL (01009),16,"57,704",Unreliable
Calhoun County, AL (01015),20,"114,611",17.5
Chambers County, AL (01017),11,"33,843",Unreliable
Colbert County, AL (01033),12,"54,216",Unreliable
Cullman County, AL (01043),17,"82,471",Unreliable
DeKalb County, AL (01049),14,"70,900",Unreliable
Elmore County, AL (01051),10,"81,799",Unreliable
Etowah County, AL (01055),18,"102,564",Unreliable
Houston County, AL (01069),22,"104,056",21.1
Jefferson County, AL (01073),80,"659,521",12.1
Lauderdale County, AL (01077),18,"92,318",Unreliable
Lee County, AL (01081),14,"158,991",Unreliable
Limestone County, AL (01083),10,"92,753",Unreliable
Madison County, AL (01089),55,"356,967",15.4
Marshall County, AL (01095),18,"95,157",Unreliable
Mobile County, AL (01097),73,"414,836",17.6
Montgomery County, AL (01101),33,"226,349",14.6
Morgan County, AL (01103),20,"119,012",16.8
Russell County, AL (01113),11,"58,172",Unreliable
St. Clair County, AL (01115),16,"88,019",Unreliable
Shelby County, AL (01117),24,"210,622",11.4
Talladega County, AL (01121),21,"80,103",26.2
Tallapoosa County, AL (01123),18,"40,727",Unreliable
Tuscaloosa County, AL (01125),26,"206,102",12.6
Walker County, AL (01127),14,"64,967",Unreliable
Anchorage Borough, AK (02020),46,"298,192",15.4
Fairbanks North Star Borough, AK (02090),21,"100,605",20.9
Kenai Peninsula Borough, AK (02122),16,"58,506",Unreliable
Matanuska-Susitna Borough, AK (02170),14,"104,365",Unreliable
Apache County, AZ (04001),27,"73,112",36.9
Cochise County, AZ (04003),23,"125,770",18.3
Coconino County, AZ (04005),41,"140,908",29.1
Gila County, AZ (04007),34,"53,556",63.5
La Paz County, AZ (04012),14,"20,317",Unreliable
Maricopa County, AZ (04013),519,"4,242,997",12.2
Mohave County, AZ (04015),89,"205,249",43.4
Navajo County, AZ (04017),41,"110,026",37.3
Pima County, AZ (04019),186,"1,016,206",18.3
Pinal County, AZ (04021),78,"418,540",18.6
Yavapai County, AZ (04025),71,"225,562",31.5
Yuma County, AZ (04027),36,"205,631",17.5
Benton County, AR (05007),27,"258,291",10.5
Craighead County, AR (05031),14,"105,835",Unreliable
Crawford County, AR (05033),11,"62,267",Unreliable
Faulkner County, AR (05045),10,"122,227",Unreliable
Garland County, AR (05051),20,"97,477",20.5
Greene County, AR (05055),10,"44,598",Unreliable
Jefferson County, AR (05069),11,"70,016",Unreliable
Pope County, AR (05115),14,"63,779",Unreliable
Pulaski County, AR (05119),58,"393,250",14.7
Saline County, AR (05125),13,"118,703",Unreliable
Sebastian County, AR (05131),21,"127,793",16.4
Washington County, AR (05143),24,"228,049",10.5
Alameda County, CA (06001),160,"1,647,704",9.7
Butte County, CA (06007),45,"226,864",19.8
Contra Costa County, CA (06013),116,"1,135,127",10.2
El Dorado County, CA (06017),46,"185,625",24.8
Fresno County, CA (06019),149,"979,915",15.2
Humboldt County, CA (06023),26,"136,646",19
Imperial County, CA (06025),33,"180,883",18.2
Kern County, CA (06029),132,"884,788",14.9
Kings County, CA (06031),21,"149,785",14
Lake County, CA (06033),23,"64,116",35.9
Los Angeles County, CA (06037),"1,451","10,137,915",14.3
Madera County, CA (06039),31,"154,697",20
Marin County, CA (06041),26,"260,651",10
Mendocino County, CA (06045),14,"87,628",Unreliable
Merced County, CA (06047),30,"268,672",11.2
Monterey County, CA (06053),50,"435,232",11.5
Napa County, CA (06055),21,"142,166",14.8
Nevada County, CA (06057),16,"99,107",Unreliable
Orange County, CA (06059),368,"3,172,532",11.6
Placer County, CA (06061),56,"380,531",14.7
Riverside County, CA (06065),332,"2,387,741",13.9
Sacramento County, CA (06067),180,"1,514,460",11.9
San Bernardino County, CA (06071),315,"2,140,096",14.7
San Diego County, CA (06073),417,"3,317,749",12.6
San Francisco County, CA (06075),102,"870,887",11.7
