County,State (Code),Deaths,Population,Crude Rate Per 100000
Baldwin County, AL (01003),21,"208,563",10.1
Cullman County, AL (01043),14,"82,471",Unreliable
Dale County, AL (01045),10,"49,226",Unreliable
Etowah County, AL (01055),10,"102,564",Unreliable
Houston County, AL (01069),11,"104,056",Unreliable
Jackson County, AL (01071),15,"52,138",Unreliable
Jefferson County, AL (01073),78,"659,521",11.8
Lauderdale County, AL (01077),13,"92,318",Unreliable
Lee County, AL (01081),11,"158,991",Unreliable
Madison County, AL (01089),51,"356,967",14.3
Mobile County, AL (01097),42,"414,836",10.1
Montgomery County, AL (01101),20,"226,349",8.8
Morgan County, AL (01103),15,"119,012",Unreliable
Shelby County, AL (01117),20,"210,622",9.5
Tuscaloosa County, AL (01125),10,"206,102",Unreliable
Anchorage Borough, AK (02020),11,"298,192",Unreliable
Cochise County, AZ (04003),12,"125,770",Unreliable
Maricopa County, AZ (04013),424,"4,242,997",10
Mohave County, AZ (04015),18,"205,249",Unreliable
Pima County, AZ (04019),117,"1,016,206",11.5
Pinal County, AZ (04021),43,"418,540",10.3
Yavapai County, AZ (04025),46,"225,562",20.4
Yuma County, AZ (04027),20,"205,631",9.7
Benton County, AR (05007),21,"258,291",8.1
Garland County, AR (05051),13,"97,477",Unreliable
Lonoke County, AR (05085),11,"72,228",Unreliable
Pulaski County, AR (05119),30,"393,250",7.6
Saline County, AR (05125),11,"118,703",Unreliable
Washington County, AR (05143),22,"228,049",9.6
Alameda County, CA (06001),118,"1,647,704",7.2
Butte County, CA (06007),31,"226,864",13.7
Contra Costa County, CA (06013),108,"1,135,127",9.5
El Dorado County, CA (06017),21,"185,625",11.3
Fresno County, CA (06019),64,"979,915",6.5
Humboldt County, CA (06023),14,"136,646",Unreliable
Kern County, CA (06029),60,"884,788",6.8
Los Angeles County, CA (06037),676,"10,137,915",6.7
Marin County, CA (06041),38,"260,651",14.6
Merced County, CA (06047),19,"268,672",Unreliable
Monterey County, CA (06053),19,"435,232",Unreliable
Napa County, CA (06055),20,"142,166",14.1
Nevada County, CA (06057),14,"99,107",Unreliable
Orange County, CA (06059),297,"3,172,532",9.4
Placer County, CA (06061),36,"380,531",9.5
Riverside County, CA (06065),170,"2,387,741",7.1
Sacramento County, CA (06067),122,"1,514,460",8.1
San Bernardino County, CA (06071),119,"2,140,096",5.6
San Diego County, CA (06073),322,"3,317,749",9.7
San Francisco County, CA (06075),88,"870,887",10.1
San Joaquin County, CA (06077),35,"733,709",4.8
San Luis Obispo County, CA (06079),40,"282,887",14.1
San Mateo County, CA (06081),72,"764,797",9.4
Santa Barbara County, CA (06083),66,"446,170",14.8
Santa Clara County, CA (06085),135,"1,919,402",7
Santa Cruz County, CA (06087),32,"274,673",11.7
Shasta County, CA (06089),29,"179,631",16.1
Solano County, CA (06095),23,"440,207",5.2
Sonoma County, CA (06097),52,"503,070",10.3
Stanislaus County, CA (06099),53,"541,560",9.8
Tulare County, CA (06107),20,"460,437",4.3
Tuolumne County, CA (06109),13,"53,804",Unreliable
Ventura County, CA (06111),76,"849,738",8.9
Yolo County, CA (06113),12,"215,802",Unreliable
Adams County, CO (08001),36,"498,187",7.2
Arapahoe County, CO (08005),60,"637,068",9.4
Boulder County, CO (08013),33,"322,226",10.2
Denver County, CO (08031),40,"693,060",5.8
Douglas County, CO (08035),18,"328,632",Unreliable
El Paso County, CO (08041),50,"688,284",7.3
Jefferson County, CO (08059),63,"571,837",11
Larimer County, CO (08069),33,"339,993",9.7
Mesa County, CO (08077),15,"150,083",Unreliable
Pueblo County, CO (08101),15,"165,123",Unreliable
Weld County, CO (08123),24,"294,932",8.1
Fairfield County, CT (09001),87,"944,177",9.2
Hartford County, CT (09003),88,"892,389",9.9
Litchfield County, CT (09005),17,"182,571",Unreliable
Middlesex County, CT (09007),17,"163,329",Unreliable
New Haven County, CT (09009),104,"856,875",12.1
New London County, CT (09011),27,"269,801",10
Kent County, DE (10001),10,"174,827",Unreliable
New Castle County, DE (10003),36,"556,987",6.5
Sussex County, DE (10005),26,"220,251",11.8
