County,State (Code),Deaths,Population,Crude Rate Per 100000
Baldwin County, AL (01003),26,"208,563",12.5
Blount County, AL (01009),10,"57,704",Unreliable
Calhoun County, AL (01015),31,"114,611",27
Chambers County, AL (01017),12,"33,843",Unreliable
Chilton County, AL (01021),14,"43,941",Unreliable
Colbert County, AL (01033),14,"54,216",Unreliable
Covington County, AL (01039),18,"37,458",Unreliable
Cullman County, AL (01043),14,"82,471",Unreliable
Dallas County, AL (01047),21,"40,008",52.5
DeKalb County, AL (01049),15,"70,900",Unreliable
Elmore County, AL (01051),12,"81,799",Unreliable
Etowah County, AL (01055),25,"102,564",24.4
Houston County, AL (01069),12,"104,056",Unreliable
Jefferson County, AL (01073),164,"659,521",24.9
Lauderdale County, AL (01077),18,"92,318",Unreliable
Lee County, AL (01081),22,"158,991",13.8
Madison County, AL (01089),51,"356,967",14.3
Marion County, AL (01093),11,"29,998",Unreliable
Marshall County, AL (01095),20,"95,157",21
Mobile County, AL (01097),100,"414,836",24.1
Montgomery County, AL (01101),47,"226,349",20.8
Morgan County, AL (01103),17,"119,012",Unreliable
Russell County, AL (01113),13,"58,172",Unreliable
St. Clair County, AL (01115),12,"88,019",Unreliable
Shelby County, AL (01117),30,"210,622",14.2
Talladega County, AL (01121),16,"80,103",Unreliable
Tallapoosa County, AL (01123),11,"40,727",Unreliable
Tuscaloosa County, AL (01125),43,"206,102",20.9
Walker County, AL (01127),22,"64,967",33.9
Anchorage Borough, AK (02020),18,"298,192",Unreliable
Cochise County, AZ (04003),28,"125,770",22.3
Maricopa County, AZ (04013),189,"4,242,997",4.5
Mohave County, AZ (04015),38,"205,249",18.5
Navajo County, AZ (04017),17,"110,026",Unreliable
Pima County, AZ (04019),111,"1,016,206",10.9
Pinal County, AZ (04021),33,"418,540",7.9
Yavapai County, AZ (04025),21,"225,562",9.3
Yuma County, AZ (04027),39,"205,631",19
Ashley County, AR (05003),10,"20,492",Unreliable
Craighead County, AR (05031),12,"105,835",Unreliable
Crawford County, AR (05033),10,"62,267",Unreliable
Faulkner County, AR (05045),11,"122,227",Unreliable
Garland County, AR (05051),28,"97,477",28.7
Independence County, AR (05063),12,"37,168",Unreliable
Jefferson County, AR (05069),24,"70,016",34.3
Lonoke County, AR (05085),17,"72,228",Unreliable
Miller County, AR (05091),13,"43,787",Unreliable
Pulaski County, AR (05119),64,"393,250",16.3
Sebastian County, AR (05131),10,"127,793",Unreliable
Union County, AR (05139),10,"39,887",Unreliable
Washington County, AR (05143),11,"228,049",Unreliable
White County, AR (05145),14,"79,263",Unreliable
Alameda County, CA (06001),67,"1,647,704",4.1
