0,Rank,County,State,StateID,Median household income,,,,
1,1,New York  County,New York,36,"$69,659 ",,,,
2,2,Arlington County,Virginia,51,"$103,208 ",,,,
3,3,Falls Church City County,Virginia,51,"$120,000 ",,,,
4,4,Marin County,California,06,"$90,839 ",,,,
5,5,Alexandria City County,Virginia,51,"$85,706 ",,,,
6,6,Pitkin County,Colorado,08,"$72,745 ",,,,
7,7,Los Alamos County,New Mexico,35,"$106,686 ",,,,
8,8,Fairfax   County,Virginia,51,"$110,292 ",,,,
9,9,Hunterdon County,New Jersey,34,"$106,143 ",,,,
10,10,Borden County,Texas,48,"$71,607 ",,,,
11,11,Montgomery County,Maryland,24,"$98,221 ",,,,
12,12,Morris County,New Jersey,34,"$98,633 ",,,,
13,13,Fairfield County,Connecticut,09,"$82,283 ",,,,
14,14,San Francisco County,California,06,"$75,604 ",,,,
15,15,Howard County,Maryland,24,"$109,865 ",,,,
16,16,Westchester County,New York,36,"$81,946 ",,,,
17,17,Somerset County,New Jersey,34,"$99,020 ",,,,
18,18,Nantucket County,Massachusetts,25,"$85,478 ",,,,
19,19,Loudoun County,Virginia,51,"$122,238 ",,,,
20,20,North Slope County,Alaska,02,"$80,761 ",,,,
21,21,San Mateo County,California,06,"$88,202 ",,,,
22,22,Kalawao County,Hawaii,15,"$59,375 ",,,,
23,23,Washington City County,District of Columbia,10,"$65,830 ",,,,
24,24,Goochland County,Virginia,51,"$80,976 ",,,,
25,25,Norfolk County,Massachusetts,25,"$84,916 ",,,,
26,26,Fairfax City County,Virginia,51,"$97,242 ",,,,
27,27,Douglas County,Colorado,08,"$101,591 ",,,,
28,28,Teton County,Wyoming,56,"$68,078 ",,,,
29,29,Bergen County,New Jersey,34,"$83,794 ",,,,
30,30,Middlesex County,Massachusetts,25,"$82,090 ",,,,
31,31,Monmouth County,New Jersey,34,"$84,526 ",,,,
32,32,Summit County,Utah,49,"$83,336 ",,,,
33,33,Nassau County,New York,36,"$97,690 ",,,,
34,34,Mineral County,Colorado,08,"$47,083 ",,,,
35,35,Chester County,Pennsylvania,42,"$86,050 ",,,,
36,36,Ozaukee County,Wisconsin,55,"$75,457 ",,,,
37,37,Clear Creek County,Colorado,08,"$67,259 ",,,,
38,38,Santa Clara County,California,06,"$91,702 ",,,,
39,39,Montgomery County,Pennsylvania,42,"$79,183 ",,,,
40,40,Williamson County,Tennessee,47,"$89,779 ",,,,
41,41,San Miguel County,Colorado,08,"$63,594 ",,,,
42,42,Anne Arundel County,Maryland,24,"$87,430 ",,,,
43,43,Putnam County,New York,36,"$95,117 ",,,,
44,44,Newport County,Rhode Island,44,"$71,713 ",,,,
45,45,Delaware   County,Ohio,39,"$89,757 ",,,,
46,46,Middlesex County,Connecticut,09,"$76,994 ",,,,
47,47,King County,Washington,53,"$71,811 ",,,,
48,48,Fauquier County,Virginia,51,"$88,409 ",,,,
49,49,Hamilton County,Indiana,18,"$82,468 ",,,,
50,50,Eagle County,Colorado,08,"$74,456 ",,,,
51,51,James City   County,Virginia,51,"$76,960 ",,,,
52,52,Bristol County,Rhode Island,44,"$71,238 ",,,,
53,53,Johnson County,Kansas,20,"$74,717 ",,,,
54,54,Clarke County,Virginia,51,"$77,597 ",,,,
55,55,Williams County,North Dakota,38,"$76,210 ",,,,
56,56,DuPage County,Illinois,17,"$78,487 ",,,,
57,57,Poquoson City County,Virginia,51,"$81,892 ",,,,
58,58,Rockingham County,New Hampshire,33,"$77,348 ",,,,
59,59,Calvert County,Maryland,24,"$95,477 ",,,,
60,60,Contra Costa County,California,06,"$78,756 ",,,,
61,61,Queen Anne's County,Maryland,24,"$87,256 ",,,,
62,62,Gilpin County,Colorado,08,"$63,885 ",,,,
63,63,Talbot County,Maryland,24,"$61,597 ",,,,
64,64,Lake County,Illinois,17,"$77,469 ",,,,
65,65,Boulder County,Colorado,08,"$67,956 ",,,,
66,66,Billings County,North Dakota,38,"$57,083 ",,,,
67,67,Sussex County,New Jersey,34,"$87,335 ",,,,
68,,,Connecticut,09,"$69,461 ",,,,
69,68,Collin,Texas,48,"$82,762 ",,,,Collin
70,69,San Juan,Washington,53,"$53,376 ",,,,San Juan
71,70,Litchfield,Connecticut,09,"$71,338 ",,,,Litchfield
72,71,Waukesha,Wisconsin,55,"$75,850 ",,,,Waukesha
73,72,Juneau,Alaska,02,"$81,490 ",,,,Juneau
74,73,Hennepin,Minnesota,27,"$64,403 ",,,,Hennepin
75,74,Boone,Indiana,18,"$67,255 ",,,,Boone
76,75,Bucks,Pennsylvania,42,"$76,555 ",,,,Bucks
77,76,Mercer,New Jersey,34,"$73,480 ",,,,Mercer
78,77,Carver,Minnesota,27,"$83,773 ",,,,Carver
79,78,Broomfield,Colorado,08,"$77,998 ",,,,Broomfield
80,79,Prince William,Virginia,51,"$98,071 ",,,,Prince William
81,80,Charles,Maryland,24,"$93,160 ",,,,Charles
82,81,Albemarle,Virginia,51,"$67,725 ",,,,Albemarle
83,82,Skagway,Alaska,02,"$71,667 ",,,,Skagway
84,83,Bristol Bay,Alaska,02,"$79,531 ",,,,Bristol Bay
85,84,Washington County,Rhode Island,44,"$72,138 ",,,,Washington County
86,85,Suffolk,New York,36,"$87,763 ",,,,Suffolk
87,86,Frederick,Maryland,24,"$84,570 ",,,,Frederick
88,87,St. Johns,Florida,12,"$64,876 ",,,,St. Johns
89,88,Burlington,New Jersey,34,"$78,446 ",,,,Burlington
90,89,Fulton,Georgia,13,"$56,857 ",,,,Fulton
91,90,Washington County,Minnesota,27,"$81,540 ",,,,Washington County
92,91,Stafford,Virginia,51,"$97,110 ",,,,Stafford
93,92,Rappahannock,Virginia,51,"$56,438 ",,,,Rappahannock
94,93,Oakland,Michigan,26,"$65,594 ",,,,Oakland
95,94,Collier,Florida,12,"$55,843 ",,,,Collier
96,95,York,Virginia,51,"$82,073 ",,,,York
97,96,Hinsdale,Colorado,08,"$56,667 ",,,,Hinsdale
98,,,Maryland,24,"$73,538 ",,,,
99,97,Divide,North Dakota,38,"$55,057 ",,,,Divide
100,98,Anchorage,Alaska,02,"$77,454 ",,,,Anchorage
101,99,Roberts,Texas,48,"$67,321 ",,,,Roberts
102,100,Union,South Dakota,46,"$63,468 ",,,,Union
103,101,Carroll,Maryland,24,"$84,790 ",,,,Carroll
104,102,Barnstable,Massachusetts,25,"$60,526 ",,,,Barnstable
105,103,Jefferson,Colorado,08,"$68,984 ",,,,Jefferson
106,104,Elbert,Colorado,08,"$82,118 ",,,,Elbert
107,,,New Jersey,34,"$71,629 ",,,,
108,105,St. Mary's,Maryland,24,"$85,672 ",,,,St. Mary's
109,106,Sublette,Wyoming,56,"$77,900 ",,,,Sublette
110,107,Dallas,Iowa,19,"$73,847 ",,,,Dallas
111,108,Kendall,Texas,48,"$73,410 ",,,,Kendall
112,,,Massachusetts,25,"$66,866 ",,,,
113,109,Alameda,California,06,"$72,112 ",,,,Alameda
114,110,Blaine,Idaho,16,"$64,042 ",,,,Blaine
115,111,Scott,Minnesota,27,"$86,112 ",,,,Scott
116,112,Harford,Maryland,24,"$80,622 ",,,,Harford
117,113,Fayette,Georgia,13,"$79,977 ",,,,Fayette
118,114,Denali,Alaska,02,"$72,500 ",,,,Denali
119,115,Plymouth,Massachusetts,25,"$75,092 ",,,,Plymouth
120,116,Saratoga,New York,36,"$69,826 ",,,,Saratoga
121,117,Essex,Massachusetts,25,"$67,311 ",,,,Essex
122,118,Platte,Missouri,29,"$67,721 ",,,,Platte
123,119,Union,New Jersey,34,"$68,507 ",,,,Union
124,120,Placer,California,06,"$72,725 ",,,,Placer
125,121,El Dorado,California,06,"$69,297 ",,,,El Dorado
126,122,Routt,Colorado,08,"$62,002 ",,,,Routt
127,123,Lincoln,South Dakota,46,"$74,751 ",,,,Lincoln
128,124,Dakota,Minnesota,27,"$73,732 ",,,,Dakota
129,125,Napa,California,06,"$70,443 ",,,,Napa
130,126,St. Louis County,Missouri,29,"$58,910 ",,,,St. Louis County
131,127,Hartford,Connecticut,09,"$64,967 ",,,,Hartford
132,128,Rockwall,Texas,48,"$86,119 ",,,,Rockwall
133,129,Rockland,New York,36,"$84,951 ",,,,Rockland
134,130,Forsyth,Georgia,13,"$86,569 ",,,,Forsyth
135,131,Orange,North Carolina,37,"$55,569 ",,,,Orange
136,132,Geauga,Ohio,39,"$67,663 ",,,,Geauga
137,133,Tolland,Connecticut,09,"$80,529 ",,,,Tolland
138,134,Hillsborough,New Hampshire,33,"$69,829 ",,,,Hillsborough
139,135,Baltimore County,Maryland,24,"$66,486 ",,,,Baltimore County
140,136,Middlesex,New Jersey,34,"$79,596 ",,,,Middlesex
141,137,Yakutat,Alaska,02,"$72,500 ",,,,Yakutat
142,138,King George,Virginia,51,"$81,753 ",,,,King George
143,139,Petersburg Census Area,Alaska,02,"$63,934 ",,,,Petersburg Census Area
144,140,Douglas,Nevada,32,"$60,100 ",,,,Douglas
145,141,Fort Bend,Texas,48,"$85,297 ",,,,Fort Bend
146,142,Olmsted,Minnesota,27,"$66,252 ",,,,Olmsted
147,143,Loving,Texas,48,"$68,750 ",,,,Loving
148,144,Orange,California,06,"$75,422 ",,,,Orange
149,145,Martin,Florida,12,"$49,846 ",,,,Martin
150,146,Summit,Colorado,08,"$63,697 ",,,,Summit
151,147,Monroe,Florida,12,"$53,607 ",,,,Monroe
152,148,Denton,Texas,48,"$74,155 ",,,,Denton
153,149,Campbell,Wyoming,56,"$79,488 ",,,,Campbell
154,150,Kent,Rhode Island,44,"$62,279 ",,,,Kent
155,151,Mountrail,North Dakota,38,"$68,722 ",,,,Mountrail
156,152,Oconee,Georgia,13,"$75,004 ",,,,Oconee
157,153,Dunn,North Dakota,38,"$60,500 ",,,,Dunn
158,154,New London,Connecticut,09,"$66,583 ",,,,New London
159,155,Dane,Wisconsin,55,"$61,721 ",,,,Dane
160,156,Midland,Texas,48,"$62,993 ",,,,Midland
161,157,Llano,Texas,48,"$44,094 ",,,,Llano
162,158,Columbia,New York,36,"$57,336 ",,,,Columbia
163,159,Dutchess,New York,36,"$72,525 ",,,,Dutchess
164,160,Oldham,Kentucky,21,"$83,391 ",,,,Oldham
165,161,Warren,New Jersey,34,"$70,912 ",,,,Warren
166,162,Hanover,Virginia,51,"$75,070 ",,,,Hanover
167,,,Virginia,51,"$63,907 ",,,,
168,163,Storey,Nevada,32,"$61,573 ",,,,Storey
169,164,Dukes,Massachusetts,25,"$66,288 ",,,,Dukes
170,165,Towner,North Dakota,38,"$55,521 ",,,,Towner
171,166,Shelby,Alabama,01,"$68,770 ",,,,Shelby
172,167,Chittenden,Vermont,50,"$63,989 ",,,,Chittenden
173,168,Denver,Colorado,08,"$50,313 ",,,,Denver
174,169,Washtenaw,Michigan,26,"$59,055 ",,,,Washtenaw
175,170,Travis,Texas,48,"$58,025 ",,,,Travis
176,171,Delaware County,Pennsylvania,42,"$64,041 ",,,,Delaware County
177,172,Warren,Ohio,39,"$72,487 ",,,,Warren
178,173,Madison,Mississippi,28,"$59,904 ",,,,Madison
179,174,Wake,North Carolina,37,"$66,006 ",,,,Wake
180,175,Grand Isle,Vermont,50,"$59,509 ",,,,Grand Isle
181,,,New Hampshire,33,"$64,916 ",,,,
